name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
EBIT,"574,200,000","137,700,000","153,100,000","148,600,000","134,800,000","118,100,000","172,600,000","100,900,000","24,900,000","111,000,000","166,100,000","145,000,000","109,100,000","140,900,000","144,200,000","145,000,000","99,100,000","134,200,000","129,800,000","139,300,000","98,200,000","98,400,000","36,700,000","132,900,000","91,300,000","92,100,000","6,900,000","95,300,000","67,900,000","55,900,000","107,600,000","90,700,000","67,000,000","89,600,000","-21,600,000","100,800,000","61,300,000","101,500,000"
EBITDA,"657,300,000"
ReconciledCostOfRevenue,"1,662,500,000","422,700,000","416,500,000","426,400,000","396,900,000","407,400,000","409,200,000","342,900,000","381,600,000","400,300,000","412,800,000","410,500,000","378,100,000","401,900,000","402,100,000","399,100,000","355,300,000","348,200,000","335,500,000","346,000,000","308,000,000","331,600,000","317,600,000","317,500,000","286,000,000","325,200,000","304,500,000","297,700,000","271,600,000","374,000,000","310,600,000","305,200,000","280,600,000","334,100,000","290,600,000","310,200,000","287,200,000","303,500,000"
ReconciledDepreciation,"83,100,000","21,100,000","20,100,000","20,500,000","21,400,000","20,700,000","20,600,000","19,900,000","19,800,000","20,400,000","21,200,000","20,700,000","20,700,000","20,400,000","20,300,000","23,000,000","22,500,000","17,000,000","17,200,000","16,200,000","16,500,000","16,200,000","17,200,000","17,100,000","16,400,000","15,700,000","12,700,000","12,700,000","12,100,000","12,300,000","12,100,000","12,200,000","12,200,000","11,900,000","11,300,000","11,200,000","11,700,000","11,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"483,000,000","112,800,000","143,500,000","118,700,000","108,000,000","93,300,000","146,900,000","73,700,000","400,000","80,700,000","131,600,000","109,300,000","80,200,000","132,800,000","116,000,000","113,900,000","72,200,000","9,600,000","89,800,000","105,500,000","68,400,000","74,800,000","1,600,000","95,000,000","57,700,000","71,900,000","-27,100,000","63,900,000","45,600,000","36,000,000","62,400,000","51,600,000","35,800,000","9,900,000","-77,700,000","61,100,000","39,600,000","61,900,000"
TotalUnusualItemsExcludingGoodwill,"-2,700,000","-700,000","-800,000","-800,000","-400,000","-40,400,000","-2,800,000","100,000","-97,200,000","-30,800,000","-800,000","-500,000","200,000","-1,300,000","800,000","600,000","-400,000","-300,000","100,000","-400,000","-100,000","900,000","-84,900,000","600,000","-3,000,000","1,300,000","-106,500,000","-600,000","-3,300,000","-9,900,000","1,700,000","700,000","-100,000","-1,000,000","-137,600,000","600,000","-7,500,000","-800,000"
TotalUnusualItems,"-2,700,000","-700,000","-800,000","-800,000","-400,000","-40,400,000","-2,800,000","100,000","-97,200,000","-30,800,000","-800,000","-500,000","200,000","-1,300,000","800,000","600,000","-400,000","-300,000","100,000","-400,000","-100,000","900,000","-84,900,000","600,000","-3,000,000","1,300,000","-106,500,000","-600,000","-3,300,000","-9,900,000","1,700,000","700,000","-100,000","-1,000,000","-137,600,000","600,000","-7,500,000","-800,000"
NormalizedEBITDA,"660,000,000","159,500,000","174,000,000","169,900,000","156,600,000","179,200,000","196,000,000","120,700,000","141,900,000","162,200,000","188,100,000","166,200,000","129,600,000","162,600,000","163,700,000","167,400,000","122,000,000","151,500,000","146,900,000","155,900,000","114,800,000","113,700,000","138,800,000","149,400,000","110,700,000","106,500,000","126,100,000","108,600,000","83,300,000","78,100,000","118,000,000","102,200,000","79,300,000","102,500,000","127,300,000","111,400,000","80,500,000","113,500,000"
TaxRateForCalcs,"0.078","0.095","0.27","0.128","0.117","0.117","0.08","0.162","0.27","0.174","0.125","0.169","0.158","0.27","0.108","0.134","0.16","0.4","0.196","0.141","0.165","0.091","0.4","0.18","0.216","0.05","0.4","0.226","0.22","0.35","0.287","0.295","0.303","0.35","0.35","0.369","0.323","0.371"
TaxEffectOfUnusualItems,"-210,600","-66,345.382","-216,000","-102,400","-46,800","-4,734,971.645","-224,000","16,200","-26,244,000","-5,359,263.05","-100,000","-84,500","31,600","-351,000","86,400","80,400","-64,000","-120,000","19,600","-56,400","-16,500","81,818.182","-33,960,000","108,000","-648,000","65,171.504","-42,600,000","-135,600","-726,000","-3,465,000","487,900","206,500","-30,300","-350,000","-48,160,000","221,400","-2,422,500","-296,442.688"
