name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,379,000",,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,"-4,859,000","-3,332,000","-6,747,000","384,000","-3,650,000","-1,837,000","-16,637,000","-3,187,000","-2,216,000","-5,450,000","-2,156,000","-1,388,000","-4,200,000","-2,209,000","-1,606,000","-1,602,000","-1,559,000","-1,607,000","-2,405,000","-1,399,000","-1,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"812,763,000","167,559,000","239,554,000","246,376,000","159,274,000","117,732,000","106,501,000","-4,316,000","73,864,000","100,996,000","120,032,000","123,967,000","113,290,000","43,470,000","60,484,000","70,280,000","94,202,000","61,466,000","32,142,000","107,774,000","74,361,000","31,138,000","10,398,000","41,681,000","-44,478,000","105,408,000","236,277,000","229,158,000","199,024,000","188,757,000","208,221,000","180,986,000","136,339,000","129,494,000","137,919,000","146,748,000","120,310,000","102,650,000","118,210,000","134,167,000","102,658,000","94,282,000","98,458,000","81,857,000","75,108,000","74,303,000","77,965,000","75,301,000","61,492,000","50,615,000","54,867,000","57,429,000","41,314,000","28,069,000","31,911,000","39,164,000","28,062,000","28,881,000","32,919,000","32,138,000","20,064,000","17,389,000","19,800,000","17,427,000","13,639,000","7,621,000","7,540,000"
TaxProvision,"159,779,000","34,084,000","35,120,000","58,402,000","32,173,000","-73,227,000","26,257,000","-12,491,000","-2,524,000","28,580,000","21,450,000","32,939,000","25,158,000","11,451,000","22,280,000","23,396,000","34,756,000","17,673,000","12,532,000","41,044,000","28,241,000","15,163,000","2,599,000","16,085,000","-18,046,000","37,534,000","91,394,000","88,954,000","76,383,000","67,523,000","77,420,000","70,716,000","53,270,000","49,872,000","54,540,000","58,895,000","43,726,000","41,297,000","45,910,000","52,484,000","39,994,000","36,809,000","38,025,000","31,200,000","28,726,000","27,858,000","29,737,000","28,840,000","23,645,000","19,019,000","20,403,000","22,036,000","15,922,000","11,096,000","12,434,000","14,696,000","10,778,000","11,343,000","12,315,000","12,157,000","7,624,000","6,548,000","7,998,000","6,635,000","5,651,000","3,359,000","-3,605,000"
NetIncomeCommonStockholders,"652,984,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000","61,353,000","72,300,000","81,683,000","62,664,000","57,473,000","60,433,000","50,657,000","46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000","11,145,000"
	NetIncome,"652,984,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000","61,353,000","72,300,000","81,683,000","62,664,000","57,473,000","60,433,000","50,657,000","46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000","11,145,000"
		NetIncomeIncludingNoncontrollingInterests,"652,984,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000","61,353,000","72,300,000","81,683,000","62,664,000","57,473,000","60,433,000","50,657,000","46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000","11,145,000"
			NetIncomeContinuousOperations,"652,984,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000","61,353,000","72,300,000","81,683,000","62,664,000","57,473,000","60,433,000","50,657,000","46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000","11,145,000"
DilutedNIAvailtoComStockholders,"652,984,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000","61,353,000","72,300,000","81,683,000","62,664,000","57,473,000","60,433,000","50,657,000","46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000","11,145,000"
BasicEPS,,,"7.26","6.68","4.52","6.82","2.87","0.29","2.75","2.61","3.55","3.28","3.18","1.15","1.37","1.69","2.13",,"0.69","2.33","1.6","0.55","0.27","0.88","-0.88","2.19","4.65","4.51","3.95","3.91","4.22","3.55","2.67","2.57","2.7","2.84","2.47",,"2.28","2.58","2","1.84","1.93","1.63","1.49",,"1.55","1.48","1.2",,"1.09","1.11","0.79",,"0.59","0.74","0.53",,"0.63","0.61","0.38",,"0.36","0.33","0.26",,"0.14"
