name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
		ImpairmentOfCapitalAssets,"134,000,000"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-156,000",,,,,,,,,,,,,,,,,
PretaxIncome,"875,400,000","164,200,000","259,100,000","235,400,000","216,700,000","216,000,000","240,000,000","224,800,000","216,700,000","172,100,000","38,900,000","187,300,000","170,100,000","179,600,000","192,800,000","185,000,000","162,300,000","179,200,000","180,700,000","169,900,000","161,200,000","160,173,000","172,396,000","160,490,000","160,641,000","163,129,000","193,789,000","201,026,000","159,492,000","159,693,000","157,707,000","141,807,000","131,413,000","128,497,000","151,126,000","131,927,000","127,190,000","138,430,000","136,616,000","121,151,000","123,011,000","124,490,000","116,829,000","109,048,000","110,054,000","104,585,000","105,302,000","98,751,000","98,012,000","31,102,000","75,399,000","79,410,000","78,694,000","66,799,000","69,333,000","71,865,000","70,902,000"
TaxProvision,"209,100,000","22,400,000","54,200,000","83,800,000","48,700,000","39,800,000","54,200,000","45,800,000","45,000,000","39,900,000","6,000,000","36,900,000","35,700,000","33,400,000","26,800,000","31,500,000","29,300,000","-25,400,000","60,000,000","48,900,000","52,400,000","52,716,000","44,819,000","53,754,000","50,911,000","49,372,000","61,975,000","37,706,000","60,806,000","60,383,000","58,692,000","53,708,000","46,972,000","47,340,000","54,685,000","47,722,000","46,679,000","40,131,000","53,705,000","47,820,000","48,410,000","44,172,000","45,842,000","43,471,000","44,178,000","38,692,000","42,422,000","40,347,000","42,637,000","37,547,000","33,194,000","33,471,000","33,779,000","30,360,000","28,493,000","31,942,000","29,876,000"
NetIncomeCommonStockholders,"666,300,000","142,000,000","201,700,000","154,000,000","168,600,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","109,248,000","127,577,000","261,736,000","92,639,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
	NetIncome,"666,300,000","142,000,000","201,700,000","154,000,000","168,600,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","109,248,000","127,577,000","261,736,000","92,639,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
		NetIncomeIncludingNoncontrollingInterests,"666,300,000","141,800,000","204,900,000","151,600,000","168,000,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","109,248,000","127,577,000","261,736,000","92,639,000","113,757,000","131,814,000","163,320,000","98,686,000","97,370,000","99,015,000","88,099,000","115,558,000","87,223,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
			NetIncomeContinuousOperations,"666,300,000","141,800,000","204,900,000","151,600,000","168,000,000","176,200,000","185,800,000","179,000,000","171,700,000","132,200,000","32,900,000","150,400,000","134,400,000","146,200,000","166,000,000","153,500,000","133,000,000","204,600,000","120,700,000","121,000,000","108,800,000","107,457,000","127,577,000","106,736,000","109,730,000","113,757,000","131,814,000","163,320,000","98,686,000","99,310,000","99,015,000","88,099,000","84,441,000","81,157,000","96,441,000","84,205,000","80,511,000","98,299,000","82,911,000","73,331,000","74,601,000","80,318,000","70,987,000","65,577,000","65,876,000","65,893,000","62,880,000","58,404,000","55,375,000","-6,445,000","42,205,000","45,939,000","44,915,000","36,439,000","40,840,000","39,923,000","41,026,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,"0","0","0","0","-3,525,000","0","254,745,000","1,780,000","0","0","0","0","-1,940,000","0","0","31,117,000",,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,"0","0","0","0","5,316,000","0","-99,745,000","-18,871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
