name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
NetInterestIncome,"11,637,000","3,535,000","3,050,000","2,770,000","2,282,000","2,254,000","2,311,000","2,388,000","2,374,000","2,098,000","1,850,000","1,661,000","1,696,000","1,715,000","1,583,000","1,563,000","1,460,000","1,415,000","1,346,000","1,327,000","1,264,000","568,000","780,000","597,000","543,000","550,000","-6,000","235,000","642,000","406,000","202,000","295,000","190,000","-57,000","-59,000","218,000","-10,000","-10,000","156,000","359,000","106,000","461,000","3,000","24,000","183,000","394,000","81,000","334,000","347,000","575,000","85,000","96,000","291,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"268,642,000","78,152,000","80,552,000","62,224,000","47,714,000","41,502,000","61,820,000","30,037,000","33,327,000","31,685,000","30,724,000","20,622,000","21,995,000","33,486,000","33,836,000","25,522,000","22,568,000","25,393,000","24,159,000","15,260,000","13,856,000","17,222,000","15,056,000","11,519,000","10,421,000","12,075,000","13,446,000","10,422,000","6,127,000","9,231,000","10,778,000","6,878,000","385,000","8,124,000","8,760,000","4,657,000","2,004,000","-1,620,000","6,091,000","6,537,000","3,355,000","5,256,000","5,154,000","4,199,000","2,187,000","3,036,000","13,675,000","7,144,000","6,643,000","3,594,000","13,286,000","3,345,000","-695,000","8,953,000","10,620,000","4,319,000","5,329,000","7,895,000","8,514,000","-7,294,000","557,000","1,248,000","-666,000","1,821,000","-1,168,000","14,050,000","6,572,000","-11,944,000","-2,214,373","-745,529","-1,103,000","4,571,000","2,158,000","-7,374,562","3,194,000","865,000","109,000","-3,589,679","370,000","187,000","-262,000"
EBITDA,"297,341,000"
ReconciledCostOfRevenue,"522,339,000","142,630,000","137,211,000","129,102,000","113,396,000","104,169,000","116,382,000","83,616,000","74,331,000","74,802,000","75,655,000","67,782,000","63,357,000","68,904,000","70,957,000","62,197,000","57,655,000","58,269,000","58,083,000","50,773,000","45,520,000","47,106,000","48,531,000","43,153,000","39,002,000","40,002,000","41,754,000","37,287,000","33,855,000","34,744,000","35,872,000","31,337,000","27,964,000","29,266,000","30,053,000","26,786,000","24,085,000","22,661,000","26,495,000","27,435,000","24,074,000","22,544,000","25,148,000","25,070,000","22,163,000","23,316,000","29,857,000","23,256,000","20,954,000","19,208,000","18,868,000","16,823,000","12,431,000","14,564,000","18,201,000","15,375,000","13,044,000","13,907,000","14,662,000","11,248,000","8,963,000","9,519,000","9,382,000","9,833,000","9,373,000","11,717,000","10,596,000","8,155,000","5,535,414","5,657,029","5,832,000","4,729,000","3,273,000","3,189,345","3,544,000","2,330,000","1,866,000","2,133,070","1,910,000","1,602,000","1,186,000"
ReconciledDepreciation,"28,699,000","8,323,000","7,727,000","7,120,000","5,529,000","5,401,000","4,956,000","4,501,000","4,328,000","4,050,000","3,823,000","3,739,000","3,255,000","3,253,000","3,228,000","3,075,000","2,755,000","4,009,000","4,029,000","4,019,000","4,044,000","4,132,000","3,669,000","3,553,000","3,320,000","3,305,000","3,386,000","3,471,000","3,621,000","3,442,000","3,388,000","3,118,000","3,182,000","3,200,000","3,249,000","3,002,000","2,709,000","2,466,000","2,413,000","2,269,000","2,184,000","2,182,000","2,175,000","2,105,000","2,270,000","2,392,000","2,020,000","1,881,000","1,723,000","1,706,000","1,718,000","1,612,000","1,537,000","1,514,000","1,455,000","1,425,000","1,331,000","1,222,000","1,090,000","997,000","875,000","12,285,000","699,000","716,000","548,000","1,689,000","1,148,000","2,158,053","2,107,947","3,441,753",,,,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"242,023,000","72,671,000","68,770,000","55,169,000","45,413,000","42,887,000","55,566,000","30,167,000","35,756,000","32,437,000","29,528,000","20,693,000","26,181,000","27,638,000","31,568,000","24,206,000","21,856,000","12,071,000","23,642,000","15,014,000","14,477,000","16,574,000","14,373,000","11,198,000","10,575,000","10,109,000","11,201,000","7,899,000","5,963,000","8,860,000","11,221,000","6,397,000","9,018,000","7,499,000","7,410,000","5,489,000","2,499,000","248,000","5,921,000","6,592,000","2,995,000","2,453,000","5,473,000","3,482,000","1,893,000","3,581,000","13,219,000","6,407,000","6,356,000","4,654,000","12,562,000","3,186,000","-728,000","3,234,000","10,457,000","4,600,000","5,935,000","7,335,000","8,270,000","-6,374,000","62,000","-1,642,000","-1,872,000","1,059,000","-408,000","9,257,000","3,985,000","-6,713,000","-1,421,968","319,392","-1,147,000","-725,000","-2,899,000","356,057","166,000","-1,683,000","-1,875,000","-586,528","-976,000","-727,000","-948,000"
TotalUnusualItemsExcludingGoodwill,"-6,952,000","237,000","-3,592,000","-1,984,000","-1,613,000","-2,015,000","-2,600,000","-2,215,000","-2,338,000","-172,000","-443,000","190,000","1,456,000","-2,342,000","1,074,000","393,000","-1,116,000","212,000","72,000","118,000","338,000","1,643,000","-55,000","8,000","-45,000","-283,000","-136,000","-311,000","-270,000","-66,000","-332,000","-274,000","8,700,000","-84,000","-104,000","257,000","301,000","2,600,000","229,000","244,000","-128,000","-1,267,000","-722,000","-939,000",,,,,"0","-429,000","0","-2,233,000","-2,046,000","-1,246,000","-1,090,000","-4,294,000","-736,000","-1,181,000","-1,452,000","-13,332,000","-2,847,000","-3,128,000","-5,765,000","-2,821,000","-4,064,000","12,049,000","-74,000","-12,045,000",,,,,,,,,,,,,
TotalUnusualItems,"-6,952,000","237,000","-3,592,000","-1,984,000","-1,613,000","-2,015,000","-2,600,000","-2,215,000","-2,338,000","-172,000","-443,000","190,000","1,456,000","-2,342,000","1,074,000","393,000","-1,116,000","212,000","72,000","118,000","338,000","1,643,000","-55,000","8,000","-45,000","-283,000","-136,000","-311,000","-270,000","-66,000","-332,000","-274,000","8,700,000","-84,000","-104,000","257,000","301,000","2,600,000","229,000","244,000","-128,000","-1,267,000","-722,000","-939,000",,,,,"0","-429,000","0","-2,233,000","-2,046,000","-1,246,000","-1,090,000","-4,294,000","-736,000","-1,181,000","-1,452,000","-13,332,000","-2,847,000","-3,128,000","-5,765,000","-2,821,000","-4,064,000","12,049,000","-74,000","-12,045,000",,,,,,,,,,,,,
NormalizedEBITDA,"304,293,000","86,238,000","91,871,000","71,328,000","54,856,000","48,918,000","69,376,000","36,753,000","39,993,000","35,907,000","34,990,000","24,171,000","23,794,000","39,081,000","35,990,000","28,204,000","26,439,000","29,190,000","28,116,000","19,161,000","17,562,000","19,711,000","18,780,000","15,064,000","13,786,000","15,663,000","16,968,000","14,204,000","10,018,000","12,739,000","14,498,000","10,270,000","-5,133,000","11,408,000","12,113,000","7,402,000","4,412,000","-1,754,000","8,275,000","8,562,000","5,667,000","8,705,000","8,051,000","7,243,000","4,457,000","5,428,000","15,695,000","9,025,000","8,366,000","5,729,000","15,004,000","7,190,000","2,888,000","11,713,000","13,165,000","10,038,000","7,396,000","10,298,000","11,056,000","7,035,000","4,279,000","16,661,000","5,798,000","5,358,000","3,444,000","3,690,000","7,794,000","2,259,053","-106,426","2,696,224","-1,103,000","4,571,000","2,158,000","-7,374,562","3,194,000","865,000","109,000","-3,589,679","370,000","187,000","-262,000"
TaxRateForCalcs,"0.111","0.113","0.117","0.133","0.067","0.035","0.111","0.09","0.27","0.03","0.086","0.074","0.27","0.154","0.128","0.107","0.028","0.4","0.058","0.074","0.032","0.101","0.089","0.076","0.032","0.181","0.158","0.237","0.082","0.074","0.35","0.073","0.028","0.061","0.138","0.35","0.35","0.35","0.086","0.077","0.094","0.023","0.35","0.143","0.098","0.131","0.022","0.103","0.043","0.35","0.049","0.35","0.077","0.35","0.042","0.083","0.122","0.196","0.151","0.35","0.35","0.4","0.4","0.4","0.362","0.371","0.4","0.4","0.245","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
