name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,"26,000,000",,,,
DilutedNIAvailtoComStockholders,"1,436,000,000","-85,000,000","701,000,000","253,000,000","567,000,000","224,000,000","1,106,000,000","122,000,000","78,000,000","300,000,000","499,000,000","454,000,000","529,000,000","8,000,000","578,000,000","279,000,000","457,000,000","869,000,000","390,000,000"
BasicEPS,,"-0.15","1.21","0.43","0.96","0.37","1.83","0.2","0.13","0.49","0.8","0.73","0.85","0.013","0.93",,"0.737","1.402","0.629"
DilutedEPS,,"-0.15","1.21","0.43","0.96","0.37","1.83","0.2","0.13","0.48","0.8","0.73","0.85","0.013","0.93",,"0.737","1.402","0.629"
BasicAverageShares,,"569,000,000","578,000,000","586,000,000","593,000,000","598,000,000","603,000,000","609,000,000","612,000,000","617,000,000","622,000,000","624,000,000","621,000,000","620,595,275","620,000,000",,"620,000,000","620,000,000","620,000,000"
DilutedAverageShares,,"573,000,000","578,000,000","586,000,000","593,000,000","598,000,000","605,000,000","609,000,000","612,000,000","620,000,000","624,000,000","624,000,000","621,000,000","620,595,275","620,000,000",,"620,000,000","620,000,000","620,000,000"
TotalExpenses,"10,955,000,000","4,228,000,000","2,065,000,000","2,262,000,000","2,400,000,000","3,858,000,000","1,624,000,000","1,775,000,000","2,582,000,000","3,579,000,000","1,870,000,000","1,873,000,000","2,054,000,000","3,198,000,000","1,833,000,000","1,811,000,000","1,812,000,000","2,747,000,000","1,568,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,436,000,000","-85,000,000","701,000,000","253,000,000","567,000,000","224,000,000","1,106,000,000","122,000,000","78,000,000","300,000,000","499,000,000","454,000,000","529,000,000","8,000,000","604,000,000","471,000,000","457,000,000","869,000,000","390,000,000"
NormalizedIncome,"1,574,285,642.57","42,050,000","654,380,000","349,000,000","534,750,000","56,800,000","1,040,640,000","298,175,000","429,540,000","54,000,000","474,180,000","368,230,182.927","465,160,000","234,838,709.677","498,169,675.09","439,431,703.204","427,890,000","888,200,000","390,654,664.484"
InterestIncome,,,,"1,000,000","0","2,000,000","1,000,000","2,000,000","8,000,000","8,000,000","17,000,000","22,000,000","19,000,000",,,,"0",,
InterestExpense,"394,000,000","97,000,000","97,000,000","99,000,000","98,000,000","99,000,000","99,000,000","100,000,000","89,000,000","90,000,000","90,000,000","91,000,000","81,000,000","15,000,000","16,000,000","23,000,000","7,000,000","6,000,000","7,000,000"
NetInterestIncome,"-390,000,000","-97,000,000","-97,000,000","-98,000,000","-98,000,000","-97,000,000","-98,000,000","-98,000,000","-81,000,000","-82,000,000","-73,000,000","-69,000,000","-62,000,000","-15,000,000","-16,000,000","-23,000,000","-7,000,000","-6,000,000","-7,000,000"
EBIT,"2,386,000,000","2,000,000","1,049,000,000","456,000,000","876,000,000","403,000,000","1,578,000,000","300,000,000","234,000,000","509,000,000","790,000,000","747,000,000","787,000,000","46,000,000","847,000,000","616,000,000","661,000,000","318,000,000","618,000,000"
EBITDA,"2,720,000,000"
ReconciledDepreciation,"334,000,000","93,000,000","79,000,000","84,000,000","78,000,000","70,000,000","68,000,000","94,000,000","57,000,000","57,000,000","50,000,000","60,000,000","58,000,000","51,000,000","43,000,000","45,000,000","43,000,000","42,000,000","41,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"1,436,000,000","-85,000,000","701,000,000","253,000,000","567,000,000","224,000,000","1,106,000,000","122,000,000","78,000,000","300,000,000","499,000,000","454,000,000","529,000,000","8,000,000","604,000,000","471,000,000","457,000,000","869,000,000","390,000,000"
TotalUnusualItemsExcludingGoodwill,"-185,000,000","-165,000,000","63,000,000","-126,000,000","43,000,000","220,000,000","86,000,000","-243,000,000","-567,000,000","328,000,000","34,000,000","121,000,000","84,000,000","-293,000,000","143,000,000","39,000,000","41,000,000","-32,000,000","-1,000,000"
TotalUnusualItems,"-185,000,000","-165,000,000","63,000,000","-126,000,000","43,000,000","220,000,000","86,000,000","-243,000,000","-567,000,000","328,000,000","34,000,000","121,000,000","84,000,000","-293,000,000","143,000,000","39,000,000","41,000,000","-32,000,000","-1,000,000"
NormalizedEBITDA,"2,905,000,000","260,000,000","1,065,000,000","666,000,000","911,000,000","253,000,000","1,560,000,000","637,000,000","858,000,000","238,000,000","806,000,000","686,000,000","761,000,000","390,000,000","747,000,000","622,000,000","663,000,000","392,000,000","660,000,000"
TaxRateForCalcs,"0.253","0.23","0.26","0.238","0.25","0.24","0.24","0.275","0.38","0.25","0.27","0.291","0.24","0.226","0.26","0.191","0.29","0.4","0.345"
TaxEffectOfUnusualItems,"-46,714,357.43","-37,950,000","16,380,000","-30,000,000","10,750,000","52,800,000","20,640,000","-66,825,000","-215,460,000","82,000,000","9,180,000","35,230,182.927","20,160,000","-66,161,290.323","37,169,675.09","7,431,703.204","11,890,000","-12,800,000","-345,335.516"
