name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
	InterestExpenseNonOperating,"423,346,000","103,331,000","105,794,000","106,319,000","107,902,000","111,991,000","111,038,000","107,142,000","101,591,000","102,880,000","106,471,000","102,357,000","101,009,000","100,378,000","95,366,000","92,204,000","90,220,000","91,772,000","92,032,000","95,143,000","95,534,000","97,896,000","104,641,000","105,003,000","105,309,000","106,178,000","108,727,000","108,534,000","108,757,000","117,904,000","113,308,000","110,977,000","113,554,000","121,134,000","122,173,000","103,140,000","100,433,000","105,396,000","105,030,000","99,901,000","103,237,000","103,967,000","95,777,000","95,236,000","99,151,000","92,192,000","97,103,000","96,755,000","92,029,000","88,180,000","77,090,000","78,633,000","78,930,000","71,261,000","68,308,000","64,564,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"76,498,000","70,263,000","-7,327,000","7,907,000","5,655,000","-70,422,000","-5,531,000","209,819,000","403,736,000","-915,000","-29,106,000","50,398,000","-22,221,000","33,293,000","3,711,000","800,000","314,000","-8,795,000","1,548,000","17,893,000","4,092,000","61,315,000","-103,000","1,799,000","2,025,000","-19,806,000","878,000","2,846,000","14,900,000","-8,186,000","2,720,000","2,835,000","2,665,000","3,873,000","13,086,000","436,382,000","707,000","6,735,000","3,170,000","21,279,000","13,289,000","56,237,000","10,415,000","8,875,000","8,349,000","-82,569,000","9,672,000","8,434,000","9,675,000","27,468,000","10,045,000","4,142,000","7,892,000","-188,258,000","4,141,000","7,158,000","20,025,000",,"168,495,000",,"619,206,000",,"17,889,000","581,302,000","10,882,000",,,"102,073,000","2,416,000","6,275,000",,"1,377,000","7,138,000",,"1,341,000","3,546,000",,,"890,000",,,"7,009,000","-16,620,000",,,"-261,000","-604,000","297,000",,,,,,,"1,100,000","4,500,000","3,900,000",,"1,600,000","200,000"
	GainOnSaleOfSecurity,"129,286,000","117,438,000","158,000","10,031,000","1,659,000","9,555,000","1,649,000","208,319,000","404,720,000","2,120,000","91,000","2,851,000","2,064,000","56,485,000","8,938,000","505,000","-126,000","962,000","944,000","730,000","1,042,000","560,000","836,000","478,000","259,000","493,000","-1,515,000","-24,000","393,000","387,000","-297,000","662,000","286,000","1,039,000","956,000","181,000","735,000","187,000","587,000","-186,000","801,000","38,000","-860,000","6,000","373,000",,,"-678,000","200,000",,"1,317,000",,,,,,,,,,,,,,"5,441,000",,,,"1,208,000","17,000",,"1,377,000","440,000",,"1,341,000","3,546,000",,,,,,,,,,"73,000","-604,000",,,,,,,,,,,,,
	EarningsFromEquityInterest,"-2,570,000","-825,000","-5,597,000","-1,373,000","5,225,000","-79,700,000","-6,873,000","1,832,000","-369,000","-936,000","-649,000","47,964,000","213,000","5,305,000","-4,313,000","769,000","461,000","4,197,000","843,000","3,108,000","3,084,000","2,585,000","1,464,000","2,234,000","1,791,000","2,211,000","2,647,000","3,078,000","14,834,000","2,700,000","4,419,000","2,834,000","2,816,000","2,834,000","14,736,000","48,783,000","8,721,000","6,949,000","9,217,000","21,191,000","11,721,000","57,712,000","11,326,000","8,882,000","7,976,000","9,834,000","11,565,000","7,465,000","7,910,000","962,000","6,350,000","-351,000","5,097,000","-187,559,000","2,644,000","1,855,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-50,218,000","-46,350,000","-1,888,000","-751,000","-1,229,000","-277,000","-307,000","-332,000","-615,000","-2,099,000","-28,548,000","-417,000","-24,498,000","-28,497,000","-914,000","-474,000","-21,000","-13,954,000","-239,000","14,055,000","-34,000","58,170,000","-2,403,000","-913,000","-25,000","-22,510,000","-254,000","-208,000","-327,000","-11,273,000","-1,402,000","-661,000","-437,000","0","-2,606,000","387,418,000","-8,749,000","-401,000","-6,634,000","274,000","767,000","-1,513,000","-51,000","-13,000","0","-93,338,000","-1,893,000","969,000","1,765,000","28,430,000","2,378,000","4,493,000","2,795,000","-699,000","1,497,000","5,303,000","20,025,000",,"168,495,000","0","619,206,000",,"17,889,000","581,302,000","5,441,000",,"0","102,073,000","1,208,000","6,258,000",,,"6,698,000",,,,,,"890,000",,,"-2,080,000","-16,620,000",,,,,"297,000",,,,,,,"1,100,000","4,500,000","3,900,000",,"1,600,000","200,000"
		RestructuringAndMergernAcquisition,"5,036,000","2,066,000","1,888,000","751,000","331,000","277,000","307,000","332,000","615,000","569,000","538,000","417,000","460,000","195,000","914,000","474,000","21,000","96,000","239,000","299,000","34,000","1,200,000","249,000","913,000","25,000","470,000","254,000","208,000","327,000","640,000","1,402,000","661,000","437,000","0","2,576,000","-387,266,000","443,000","401,000","1,140,000",,,"19,000","51,000","13,000","72,000","721,000","1,893,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,"0","0","0","0","0","0","0","24,038,000","11,812,000",,,,"0","0",,,"0","1,783,000",,,,,,,"0","0","0","0","0","0","0","8,306,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"45,182,000","44,284,000",,,"898,000",,,,,"1,530,000","28,010,000",,,"16,490,000",,,,"13,858,000",,"-14,354,000",,"0","371,000",,,"22,040,000",,,,"10,633,000",,,,"0","30,000","-152,000",,"0","5,494,000",,"-767,000",,"860,000",,,,,"6,051,000","-5,030,000",,"16,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,"0",,,,"59,370,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"969,000","1,765,000",,"2,394,000","4,493,000","2,795,000",,"1,497,000","5,303,000","20,025,000",,"168,495,000","0","619,206,000",,"17,889,000","581,302,000","5,441,000",,"0","102,073,000","1,208,000",,,,"6,698,000",,,,,,,,,,,,,,,"297,000",,,,,,,,,,,,
