name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,12/31/2004
		NetIncomeIncludingNoncontrollingInterests,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
			NetIncomeContinuousOperations,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,166,000","72,784,000","17,566,000","7,814,000","50,132,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","6,994,000","4,242,000","6,160,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,511,000","599,000","498,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0","59,000,000",,,,,,,,,,"64,000","73,000","18,000","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"360,060,000","109,657,000","113,444,000","59,207,000","77,752,000","184,453,000","38,946,000","-182,895,000","-589,681,000","-15,304,000","102,315,000","-17,349,000","22,477,000","4,218,000","75,266,000","-95,544,000","-30,244,000","-87,920,000","54,242,000","-12,308,000","-2,272,000","103,231,000","128,225,000","6,344,000","19,180,000","105,602,000","100,477,000","14,766,000","11,728,000","87,709,000","89,105,000","17,690,000","13,538,000","64,102,000","72,711,000","17,548,000","7,806,000","49,746,000","57,317,000","6,668,000","14,661,000","32,552,000","45,987,000","6,241,000","12,139,000","22,948,000","34,857,000","3,502,000","7,170,000","15,202,000","26,182,000","1,439,000","3,962,000","8,321,000","25,663,000","1,375,000","2,870,000","16,875,000","20,030,000","5,712,000","9,941,000","11,851,000","15,970,000","2,424,000","8,734,000","3,483,000","3,643,000","5,662,000"
BasicEPS,,"0.23","0.24","0.13","0.17","0.41","0.09","-0.4","-1.3","-0.03","0.23","-0.04","0.05","0.01","0.17","-0.21","-0.07","-0.2","0.12","-0.03","-0.01","0.24","0.29","-0.12","0.04","0.245","0.235","0.035","0.025","0.205","0.21","0.04","0.03","0.153","0.173","0.043","0.018","0.12","0.138","0.015","0.035",,"0.111","0.015","0.03",,"0.085","0.009","0.018",,"0.065","0.004","0.01",,"0.066","0.004","0.008",,"0.053","0.015","0.026",,"0.043","0.006","0.024",,"0.013",
DilutedEPS,,"0.23","0.24","0.13","0.17","0.4","0.09","-0.4","-1.3","-0.03","0.23","-0.04","0.05","0.01","0.17","-0.21","-0.07","-0.2","0.12","-0.03","-0.01","0.23","0.29","-0.12","0.04","0.24","0.225","0.035","0.025","0.2","0.205","0.04","0.03","0.148","0.17","0.04","0.018","0.118","0.135","0.015","0.035",,"0.11","0.015","0.029",,"0.085","0.009","0.018",,"0.065","0.004","0.01",,"0.064","0.004","0.008",,"0.05","0.014","0.025",,"0.04","0.006","0.023",,"0.012",
BasicAverageShares,,"476,178,000","470,002,000","459,604,000","456,014,000","454,811,000","454,541,000","454,121,000","452,871,000","451,629,000","451,385,000","451,066,000","449,749,000","448,438,000","447,070,000","444,626,000","443,052,000","441,826,000","441,275,000","440,423,000","439,360,000","438,260,000","437,830,000","435,543,000","433,626,000","431,896,000","431,486,000","431,180,000","429,394,000","427,590,000","427,044,000","426,376,000","424,766,000","422,784,000","422,108,000","421,060,000","419,592,000","418,748,000","418,060,000","417,296,000","415,384,000",,"412,464,000","412,680,000","411,552,000",,"407,408,000","406,112,000","403,352,000",,"400,368,000","397,808,000","395,360,000",,"389,176,000","388,224,000","387,296,000",,"385,464,000","383,800,000","380,952,000",,"377,312,000","375,152,000","371,888,000",,"286,968,000",
DilutedAverageShares,,"479,728,000","473,116,000","462,286,000","459,226,000","457,869,000","456,674,000","454,121,000","452,871,000","451,629,000","454,695,000","451,066,000","453,230,000","452,497,000","451,035,000","444,626,000","443,052,000","441,826,000","448,439,000","440,423,000","439,360,000","447,579,000","445,853,000","442,872,000","443,260,000","442,614,000","442,106,000","439,842,000","439,232,000","439,490,000","435,964,000","434,588,000","433,824,000","433,304,000","431,072,000","429,668,000","428,384,000","428,484,000","427,180,000","423,888,000","422,824,000",,"420,224,000","420,136,000","419,088,000",,"409,344,000","408,472,000","407,304,000",,"405,992,000","404,616,000","403,440,000",,"399,472,000","398,736,000","399,592,000",,"400,680,000","399,080,000","398,544,000",,"396,792,000","395,488,000","395,992,000",,"304,512,000",
TotalOperatingIncomeAsReported,"486,290,000","86,131,000","172,064,000","121,205,000","106,890,000","55,846,000","58,570,000","-169,674,000","-558,180,000","74,073,000","138,920,000","-11,482,000","35,259,000","-10,448,000","118,966,000","-104,875,000","-28,661,000","-37,088,000","62,180,000","-4,785,000","7,536,000","163,900,000","199,310,000","19,378,000","34,883,000","177,582,000","171,397,000","31,901,000","27,667,000","146,299,000","146,106,000","34,694,000","26,856,000","98,467,000","120,829,000","32,310,000","13,492,000","81,592,000","90,980,000","11,720,000","24,403,000","55,302,000","74,965,000","11,358,000","21,142,000","35,190,000","56,689,000","6,892,000","13,584,000","26,933,000","47,063,000","3,381,000","7,896,000","22,873,000","46,479,000","3,274,000","4,299,000","28,254,000","34,483,000","8,165,000","16,037,000","17,745,000","21,983,000","3,369,000","14,180,000","12,864,000","7,675,000","9,668,000"
