name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
PretaxIncome,"513,000,000","124,900,000","135,900,000","151,500,000","129,100,000","108,900,000","48,100,000","-80,700,000","-95,700,000","28,300,000","50,300,000","53,200,000","59,100,000","111,400,000","94,800,000","77,500,000","65,800,000","53,600,000","32,400,000","-190,200,000","-8,586,000","-2,850,000","-22,100,000","-15,000,000","-23,121,000"
TaxProvision,"-21,800,000","-47,600,000","2,700,000","12,500,000","17,500,000","-42,200,000","18,200,000","95,800,000","-58,900,000","2,600,000","9,000,000","8,300,000","12,000,000","16,900,000","22,600,000","17,200,000","23,400,000","-90,000,000","4,400,000","-43,900,000","-1,619,000","1,440,000","-9,100,000","-10,900,000","-13,226,000"
EarningsFromEquityInterestNetOfTax,"-11,400,000","-8,500,000","-2,200,000","-700,000",,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"562,500,000","293,000,000","126,000,000","233,900,000","-90,400,000","151,600,000","29,500,000","-177,600,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-7,015,000","-10,220,000","-12,900,000","-3,900,000","-9,620,000"
	NetIncome,"562,500,000","293,000,000","126,000,000","233,900,000","-90,400,000","151,600,000","29,500,000","-177,600,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-7,015,000","-10,220,000","-12,900,000","-3,900,000","-9,620,000"
		NetIncomeIncludingNoncontrollingInterests,"565,000,000","293,700,000","126,800,000","234,600,000","-90,100,000","151,100,000","29,900,000","-176,500,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-6,967,000","-4,290,000","-13,000,000","-4,100,000","-9,895,000"
			NetIncomeContinuousOperations,"523,400,000","164,000,000","131,000,000","138,300,000","111,600,000","151,100,000","29,900,000","-176,500,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-6,967,000","-4,290,000","-13,000,000","-4,100,000","-9,895,000"
			NetIncomeDiscontinuousOperations,"41,600,000","129,700,000","-4,200,000","96,300,000","-201,700,000",,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,500,000","-700,000","-800,000","-700,000","-300,000","500,000","-400,000","-1,100,000","0",,,,,"0","0","0","0","0","0","0","-48,000","-5,930,000","100,000","200,000","275,000"
DilutedNIAvailtoComStockholders,"562,500,000","293,000,000","126,000,000","233,900,000","-90,400,000","151,600,000","29,500,000","-177,600,000","-36,800,000","25,700,000","41,300,000","44,900,000","47,100,000","94,500,000","72,200,000","60,300,000","42,400,000","143,600,000","28,000,000","-146,300,000","-7,015,000","-10,220,000","-12,900,000","-3,900,000","-9,620,000"
