name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
	EarningsFromEquityInterest,"-176,000,000","-14,000,000","-9,000,000","-168,000,000","15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-473,000,000","-45,000,000","-60,000,000","-37,000,000","-331,000,000","-57,000,000","-72,000,000","-38,000,000","-34,000,000","-57,000,000","-14,000,000","-62,000,000","5,000,000","-119,000,000","-18,000,000","-29,000,000","-69,000,000","23,000,000","-145,000,000","-136,000,000","-128,000,000","-210,000,000","-207,000,000","-661,000,000","-18,000,000","-20,000,000","-19,000,000","-160,000,000","-18,000,000","-20,000,000","-16,000,000","-2,000,000","-7,000,000","-7,000,000","-8,000,000","-86,000,000","-53,000,000","5,000,000","0",,"-1,000,000","6,000,000","-3,000,000","-56,000,000","-67,000,000","-73,000,000","-4,000,000","-33,000,000","-4,000,000","-3,052,000,000","-184,000,000","-144,000,000","-1,555,000,000","-10,000,000","4,000,000","-38,000,000","-194,000,000","-84,000,000","-29,000,000","-2,000,000","-10,000,000","69,000,000","-28,000,000","-88,000,000","29,000,000","485,000,000","14,000,000","-8,000,000","-3,000,000","-2,444,000,000","-60,000,000","65,000,000","112,000,000","285,000,000","-20,000,000","1,000,000","-4,678,024,000","-80,745,000","-66,241,000","30,010,000","6,923,000","-88,917,000","-23,991,000","-59,917,000","15,796,000","-17,506,000","-17,643,000","-12,376,000","-33,187,000","-10,253,000","-5,478,000","-10,549,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,"7,000,000","14,000,000","28,000,000","48,000,000","58,000,000","67,000,000","131,000,000","95,000,000","195,000,000","205,000,000","556,000,000","14,000,000","19,000,000","19,000,000","19,000,000","13,000,000","9,000,000","12,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"2,854,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"393,000,000","7,000,000","62,000,000","40,000,000","284,000,000","62,000,000","86,000,000","42,000,000","43,000,000","38,000,000","19,000,000","23,000,000","-4,000,000","18,000,000",,"7,000,000","28,000,000","-102,000,000","80,000,000","5,000,000","36,000,000","8,000,000","4,000,000","112,000,000","4,000,000","2,000,000","1,000,000","138,000,000","2,000,000","4,000,000","3,000,000","3,000,000","4,000,000","5,000,000","3,000,000","86,000,000","52,000,000",,,,,,,,,"73,000,000","4,000,000",,,"198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-80,000,000","-38,000,000","2,000,000","3,000,000","-47,000,000","5,000,000","14,000,000","4,000,000","9,000,000","-9,000,000","5,000,000","-39,000,000","1,000,000","-94,000,000","-4,000,000","6,000,000","7,000,000","-21,000,000","2,000,000",,"3,000,000","-7,000,000","2,000,000","7,000,000","0","1,000,000","1,000,000","-3,000,000","-3,000,000","-7,000,000","-1,000,000","1,000,000","-3,000,000","-2,000,000","-5,000,000","0","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"305,000,000","129,000,000","-15,000,000","173,000,000","18,000,000","10,000,000","-128,000,000","2,000,000","19,000,000","-100,000,000","4,000,000","-7,000,000","-101,000,000","-57,000,000","202,000,000","-27,000,000","-3,000,000","-12,000,000","-20,000,000","11,000,000","4,000,000","-4,000,000","-5,000,000","-2,000,000","-3,000,000","-4,000,000","-3,000,000",,,,,"-14,000,000","-3,000,000","-2,000,000","-11,000,000","-2,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"6,388,000,000","2,058,000,000","1,754,000,000","1,439,000,000","1,137,000,000","1,655,000,000","1,109,000,000","1,042,000,000","496,000,000","932,000,000","593,000,000","470,000,000","436,000,000","362,000,000","693,000,000","380,000,000","251,000,000","431,000,000","118,000,000","243,000,000","236,000,000","779,000,000","266,000,000","-65,000,000","-160,000,000","-110,000,000","-88,000,000","-87,000,000","-46,000,000","0","6,000,000","20,000,000","27,000,000","35,000,000","-13,000,000","-38,000,000","-33,000,000","9,000,000","-18,000,000","-15,000,000","-23,000,000","0","-13,000,000","-26,000,000","-31,000,000","-1,000,000","14,000,000","2,000,000","43,000,000","-2,995,000,000","-99,000,000","-273,000,000","-1,772,000,000","-265,000,000","-217,000,000","-300,000,000","-428,000,000","-366,000,000","-301,000,000","-312,000,000","-315,000,000","-269,000,000","-350,000,000","-450,000,000","-305,000,000","108,000,000","-324,000,000","-337,000,000","-326,000,000","-2,742,000,000","-372,000,000","-239,000,000","-81,000,000","9,000,000","-135,000,000","-141,000,000","-2,167,982,000","-223,852,000",,,,,,"-280,699,000",,"-523,464,000","-494,136,000","-449,620,000","-249,548,000","-164,153,000","-140,930,000","-83,175,000"
TaxProvision,"1,068,000,000","224,000,000","347,000,000","281,000,000","216,000,000","254,000,000","177,000,000","166,000,000","29,000,000","110,000,000","126,000,000","84,000,000","119,000,000","2,000,000","109,000,000","41,000,000","28,000,000","-9,186,000,000","26,000,000","48,000,000","25,000,000","210,000,000","16,000,000","-3,179,000,000","28,000,000","12,000,000","-142,000,000","35,000,000","35,000,000","48,000,000","59,000,000","65,000,000","64,000,000","-4,000,000","57,000,000","58,000,000","9,000,000","49,000,000","69,000,000","68,000,000","71,000,000","67,000,000","72,000,000","81,000,000","79,000,000","84,000,000","109,000,000","83,000,000","19,000,000","-565,000,000","60,000,000","61,000,000","-277,000,000","57,000,000","59,000,000","58,000,000","40,000,000","41,000,000","59,000,000","69,000,000","63,000,000","64,000,000","52,000,000","9,000,000","40,000,000","29,000,000","31,000,000","15,000,000","13,000,000","-213,000,000","43,000,000","54,000,000","-24,000,000","-28,000,000","-98,000,000","40,000,000","-535,000,000","15,000,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"4,654,000,000","1,610,000,000","1,217,000,000","1,020,000,000","807,000,000","1,246,000,000","814,000,000","766,000,000","396,000,000","714,000,000","387,000,000","314,000,000","253,000,000","296,000,000","493,000,000","273,000,000","168,000,000","9,553,000,000","48,000,000","139,000,000","155,000,000","454,000,000","189,000,000","3,067,000,000","-188,000,000","-122,000,000","54,000,000","-122,000,000","-81,000,000","-48,000,000","-53,000,000","-45,000,000","-37,000,000","39,000,000","-70,000,000","-96,000,000","-42,000,000","-40,000,000","-87,000,000","-83,000,000","-94,000,000","-67,000,000","-85,000,000","-107,000,000","-110,000,000","-85,000,000","-95,000,000","-81,000,000","24,000,000","-1,035,000,000","-112,000,000","-205,000,000","-1,495,000,000","-322,000,000","-276,000,000","-358,000,000","-468,000,000","-407,000,000","-360,000,000","-381,000,000","-396,000,000","-133,000,000","-382,000,000","-459,000,000","-336,000,000","75,000,000","-356,000,000","-353,000,000","-340,000,000","-3,295,000,000","-416,000,000","-294,000,000","-58,000,000","36,000,000","-38,000,000","-182,000,000","-1,861,304,000","-239,584,000","-202,726,000","-174,894,000","-306,412,000","-317,670,000","-273,865,000","-280,699,000","-241,097,000","-210,018,000","-196,821,000","-180,714,000","-66,132,000","-35,000","-57,000","-33,000"
