name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000
	InterestExpenseNonOperating,"333,651,000","87,767,000","82,187,000","80,556,000","83,141,000","85,073,000","82,976,000","82,855,000","92,644,000","84,047,000","96,161,000","65,616,000","59,081,000","55,938,000","46,356,000","47,720,000","45,605,000","44,425,000","40,764,000","48,361,000","41,297,000","52,448,000","43,077,000","28,647,000","13,300,000","14,126,000","13,243,000","9,647,000","13,429,000","10,350,000","11,010,000","9,451,000","16,457,000","8,025,000","7,879,000","8,065,000","7,063,000","14,609,000","3,545,000","4,185,000","3,698,000","4,878,000","4,087,000","4,706,000","4,315,000","4,299,000","4,841,000","4,815,000","4,141,000","4,423,000","4,171,000","623,000","2,222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,489,000","-23,989,000",,,,,,,,,,,,,,"-147,664,000",,,"0",,"-314,000","-1,003,000",,,,,"0",,"-1,005,000","-873,000",,,,,"-4,945,000",,"-3,123,000","-1,580,000",,,,,,,,,,,"-1,233,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,489,000","-23,989,000",,,,,,,"0",,,,"0","0","-147,664,000","-147,664,000",,,"0",,"-314,000","-1,003,000",,,,,"0",,"-1,005,000","-873,000",,,,,"-4,945,000",,"-3,123,000","-1,580,000",,,,,,,,,,,"-1,233,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"314,000","1,003,000",,,,,"0",,"1,005,000","873,000",,,,,"4,945,000",,"3,123,000","1,580,000",,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,664,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,044,545,000","236,520,000","324,216,000","287,457,000","196,352,000","175,183,000","237,426,000","27,506,000","153,841,000","123,186,000","89,108,000","162,286,000","143,345,000","114,370,000","179,940,000","145,585,000","122,259,000","108,025,000","134,054,000","85,323,000","65,280,000","54,172,000","120,502,000","29,313,000","95,597,000","110,331,000","125,671,000","95,268,000","92,346,000","114,916,000","114,580,000","81,559,000","83,778,000","109,170,000","102,843,000","64,951,000","86,247,000","104,160,000","78,926,000","8,445,000","91,018,000","93,961,000","107,024,000","86,973,000","75,515,000","82,916,000","78,803,000","68,600,000","71,027,000","84,969,000","89,206,000","67,512,000","-82,900,000","82,751,000","94,064,000","67,525,000","62,480,000","61,902,000","69,496,000","53,554,000","53,522,000","54,294,000","64,961,000","53,244,000","48,612,000","49,746,000","49,918,000","43,759,000","34,323,000","37,425,000","38,410,000","24,349,000","26,363,000","23,757,000","25,280,000","20,779,000","19,325,000","21,698,000","23,343,000","8,167,000","16,626,000","18,839,000","20,832,000","1,245,000","9,506,000","13,670,000"
TaxProvision,"169,034,000","37,434,000","50,117,000","60,808,000","20,675,000","17,980,000","42,834,000","836,000","15,502,000","22,425,000","-16,623,000","32,247,000","24,140,000","31,047,000","-6,089,000","27,856,000","24,673,000","-142,280,000","15,692,000","12,880,000","12,321,000","1,557,000","28,044,000","-11,866,000","22,685,000","27,253,000","32,623,000","25,158,000","23,031,000","29,660,000","30,146,000","23,293,000","23,657,000","29,313,000","31,135,000","18,585,000","23,433,000","28,789,000","24,764,000","-3,201,000","25,328,000","25,812,000","34,943,000","24,587,000","20,962,000","24,546,000","24,981,000","17,890,000","20,298,000","23,655,000","26,762,000","20,710,000","15,818,000","22,505,000","28,216,000","26,517,000","19,265,000","21,023,000","23,783,000","17,687,000","17,148,000","17,692,000","20,909,000","16,960,000","16,577,000","16,963,000","17,022,000","12,592,000","12,700,000","13,847,000","14,212,000","9,106,000","9,860,000","8,885,000","9,455,000","7,772,000","7,228,000","8,116,000","8,730,000","3,119,000","6,351,000","7,196,000","7,958,000","479,000","3,660,000","5,263,000"
EarningsFromEquityInterestNetOfTax,"112,353,000","18,092,000","31,364,000","40,164,000","22,733,000","27,615,000","35,638,000","12,774,000","12,269,000","13,541,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"965,460,000","208,453,000","296,736,000","263,590,000","196,681,000","182,644,000","220,971,000","37,331,000","143,575,000","102,771,000","95,044,000","120,458,000","112,341,000","75,215,000","176,370,000","109,069,000","91,399,000","241,962,000","110,740,000","66,909,000","48,813,000","49,452,000","85,093,000","37,187,000","69,061,000","78,771,000","86,646,000","65,325,000","62,568,000","74,781,000","75,366,000","51,625,000","55,121,000","73,897,000","64,643,000","40,805,000","58,462,000","70,183,000","46,675,000","5,086,000","57,920,000","61,181,000","63,974,000","58,577,000","47,789,000","53,505,000","49,368,000","34,190,000","48,461,000","62,835,000","57,831,000","37,559,000","-106,776,000","48,907,000","57,527,000","40,811,000","40,055,000","38,313,000","43,575,000","33,178,000","34,296,000","34,002,000","41,509,000","34,062,000","30,111,000","30,613,000","30,738,000","23,497,000","21,623,000","23,578,000","24,198,000","15,243,000","16,503,000","14,872,000","15,825,000","13,007,000","12,097,000","13,582,000","14,613,000","-10,951,000","10,275,000","11,643,000","12,874,000","766,000","5,846,000","8,407,000"
	NetIncome,"965,460,000","208,453,000","296,736,000","263,590,000","196,681,000","182,644,000","220,971,000","37,331,000","143,575,000","102,771,000","95,044,000","120,458,000","112,341,000","75,215,000","176,370,000","109,069,000","91,399,000","241,962,000","110,740,000","66,909,000","48,813,000","49,452,000","85,093,000","37,187,000","69,061,000","78,771,000","86,646,000","65,325,000","62,568,000","74,781,000","75,366,000","51,625,000","55,121,000","73,897,000","64,643,000","40,805,000","58,462,000","70,183,000","46,675,000","5,086,000","57,920,000","61,181,000","63,974,000","58,577,000","47,789,000","53,505,000","49,368,000","34,190,000","48,461,000","62,835,000","57,831,000","37,559,000","-106,776,000","48,907,000","57,527,000","40,811,000","40,055,000","38,313,000","43,575,000","33,178,000","34,296,000","34,002,000","41,509,000","34,062,000","30,111,000","30,613,000","30,738,000","23,497,000","21,623,000","23,578,000","24,198,000","15,243,000","16,503,000","14,872,000","15,825,000","13,007,000","12,097,000","13,582,000","14,613,000","-10,951,000","10,275,000","11,643,000","12,874,000","766,000","5,846,000","8,407,000"
