name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,09/30/2016
DilutedAverageShares,,"906,000,000","857,000,000","806,000,000","740,000,000","717,000,000","676,000,000","655,000,000","653,000,000","653,000,000","541,000,000","515,000,000","533,333,333","467,857,143","414,000,000","414,000,000","422,000,000","427,000,000","428,000,000","425,483,244","430,000,000","430,000,000"
TotalOperatingIncomeAsReported,"1,310,000,000","574,000,000","378,000,000","194,000,000","164,000,000","182,000,000","-49,000,000","-52,000,000","-16,059,000,000","330,000,000","297,000,000","271,000,000","176,000,000","382,000,000","282,000,000","78,000,000","-41,000,000","-92,000,000","-122,000,000","0",,
TotalExpenses,"18,923,000,000","4,914,000,000","4,690,000,000","4,808,000,000","4,511,000,000","5,060,000,000","4,857,000,000","4,648,000,000","5,345,000,000","5,803,000,000","5,460,000,000","5,633,000,000","5,343,000,000","5,784,000,000","5,300,000,000","5,274,000,000","5,232,000,000","5,672,000,000","5,147,000,000","0","5,061,000,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"-219,000,000","293,000,000","8,000,000","-68,000,000","-452,000,000","652,000,000","-170,000,000","-201,000,000","-10,210,000,000","48,000,000","57,000,000","-9,000,000","32,000,000","131,000,000","13,000,000","-19,000,000","70,000,000","31,000,000","-104,000,000","0","8,000,000",
NormalizedIncome,"-22,630,000","290,810,000","26,250,000","34,200,000","-373,890,000","810,291,447.368","5,930,000","-68,819,148.936","1,571,470,000","204,950,000","148,250,000","56,700,000","102,080,000","194,075,949.367","73,590,000","124,080,000","221,840,000","143,827,067.669","106,000,000","0","101,750,000",
InterestExpense,"299,000,000","94,000,000","67,000,000","65,000,000","74,000,000","69,000,000","66,000,000","69,000,000","59,000,000","63,000,000","59,000,000","56,000,000","59,000,000","59,000,000","55,000,000","63,000,000","46,000,000","56,000,000","42,000,000","0","59,000,000",
NetInterestIncome,"-299,000,000","-94,000,000","-67,000,000","-65,000,000","-74,000,000","-69,000,000","-66,000,000","-69,000,000","-59,000,000","-63,000,000","-59,000,000","-56,000,000","-59,000,000","-59,000,000","-55,000,000","-63,000,000","-46,000,000","-56,000,000","-42,000,000","0","-59,000,000",
EBIT,"727,000,000","782,000,000","276,000,000","131,000,000","-462,000,000","1,589,000,000","-198,000,000","-307,000,000","-16,034,000,000","370,000,000","283,000,000","140,000,000","197,000,000","533,000,000","203,000,000","87,000,000","-59,000,000","-77,000,000","-138,000,000","0","180,000,000",
EBITDA,"1,832,000,000"
ReconciledCostOfRevenue,"16,453,000,000","4,280,000,000","4,083,000,000","4,166,000,000","3,924,000,000","4,486,000,000","4,292,000,000","4,058,000,000","4,670,000,000","5,054,000,000","4,781,000,000","4,932,000,000","4,639,000,000","5,029,000,000","4,692,000,000","4,612,000,000","4,558,000,000","4,887,000,000","4,355,000,000","0","4,333,000,000",
ReconciledDepreciation,"1,105,000,000","273,000,000","262,000,000","278,000,000","292,000,000","307,000,000","316,000,000","339,000,000","355,000,000","353,000,000","356,000,000","359,000,000","350,000,000","353,000,000","353,000,000","392,000,000","388,000,000","387,000,000","282,000,000",,"132,000,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-219,000,000","293,000,000","8,000,000","-68,000,000","-452,000,000","652,000,000","-170,000,000","-201,000,000","-10,210,000,000","48,000,000","57,000,000","-9,000,000","32,000,000","131,000,000","13,000,000","-19,000,000","70,000,000","31,000,000","-104,000,000","0","8,000,000",
TotalUnusualItemsExcludingGoodwill,"-269,000,000","3,000,000","-25,000,000","-140,000,000","-107,000,000","-253,000,000","-241,000,000","-140,000,000","-16,139,000,000","-215,000,000","-125,000,000","-90,000,000","-96,000,000","-99,000,000","-83,000,000","-196,000,000","-208,000,000","-183,000,000","-350,000,000","0","-125,000,000",
TotalUnusualItems,"-269,000,000","3,000,000","-25,000,000","-140,000,000","-107,000,000","-253,000,000","-241,000,000","-140,000,000","-16,139,000,000","-215,000,000","-125,000,000","-90,000,000","-96,000,000","-99,000,000","-83,000,000","-196,000,000","-208,000,000","-183,000,000","-350,000,000","0","-125,000,000",
NormalizedEBITDA,"2,101,000,000","1,052,000,000","563,000,000","549,000,000","-63,000,000","2,149,000,000","359,000,000","172,000,000","460,000,000","938,000,000","764,000,000","589,000,000","643,000,000","985,000,000","639,000,000","675,000,000","537,000,000","493,000,000","212,000,000","0","437,000,000",
TaxRateForCalcs,"0.27","0.27","0.27","0.27","0.27","0.374","0.27","0.056","0.27","0.27","0.27","0.27","0.27","0.363","0.27","0.27","0.27","0.383","0.4","0","0.25",
TaxEffectOfUnusualItems,"-72,630,000","810,000","-6,750,000","-37,800,000","-28,890,000","-94,708,552.632","-65,070,000","-7,819,148.936","-4,357,530,000","-58,050,000","-33,750,000","-24,300,000","-25,920,000","-35,924,050.633","-22,410,000","-52,920,000","-56,160,000","-70,172,932.331","-140,000,000","0","-31,250,000",
