name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
	GainOnSaleOfSecurity,"-8,000,000","13,000,000","-5,000,000","-8,000,000","-8,000,000",,,,,,,,,,,,
	EarningsFromEquityInterest,"975,000,000","224,000,000","249,000,000","278,000,000","224,000,000","106,000,000","60,000,000","-95,000,000","-89,000,000","-21,000,000","-44,000,000","-15,000,000","13,000,000","421,000,000","135,000,000","193,000,000","243,000,000"
	SpecialIncomeCharges,"-405,000,000","63,000,000","-406,000,000","-110,000,000","48,000,000","562,000,000","-680,000,000","-52,000,000","-161,000,000","-2,950,000,000","-311,000,000","-413,000,000","-640,000,000","-726,000,000","-361,000,000","-302,000,000","-367,000,000"
		RestructuringAndMergernAcquisition,"6,000,000","-16,000,000","0","22,000,000","0","54,000,000","680,000,000","52,000,000","161,000,000","2,950,000,000","311,000,000","413,000,000","640,000,000","737,000,000","361,000,000","302,000,000","367,000,000"
		OtherSpecialCharges,"520,000,000","0","418,000,000","102,000,000",,,,,,,,,,,,,
		GainOnSaleOfBusiness,"16,000,000","16,000,000","0",,,,,,,,,,,,,,
		GainOnSaleOfPPE,"105,000,000","31,000,000","12,000,000","14,000,000","48,000,000",,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"372,000,000","130,000,000","61,000,000","93,000,000","88,000,000","561,000,000","182,000,000","53,000,000","-81,000,000","92,000,000","301,000,000","-1,000,000","73,000,000","186,000,000","-3,000,000","-14,000,000","83,000,000"
PretaxIncome,"8,145,000,000","2,118,000,000","2,248,000,000","2,456,000,000","1,323,000,000","1,816,000,000","42,000,000","-183,000,000","396,000,000","-2,196,000,000","437,000,000","215,000,000","858,000,000","2,714,000,000","994,000,000","1,059,000,000","1,740,000,000"
TaxProvision,"1,740,000,000","357,000,000","542,000,000","524,000,000","317,000,000","562,000,000","43,000,000","34,000,000","138,000,000","114,000,000","90,000,000","125,000,000","272,000,000","530,000,000","280,000,000","249,000,000","363,000,000"
EarningsFromEquityInterestNetOfTax,,,,,,,"-3,000,000",,,,,,,,,,
NetIncomeCommonStockholders,"6,279,000,000","1,704,000,000","1,683,000,000","1,901,000,000","991,000,000","1,243,000,000","-28,000,000","-225,000,000","239,000,000","-2,323,000,000","333,000,000","75,000,000","541,000,000","749,000,000","1,013,000,000","1,333,000,000","1,342,000,000"
	NetIncome,"6,311,000,000","1,736,000,000","1,683,000,000","1,901,000,000","991,000,000","1,243,000,000","-28,000,000","-225,000,000","239,000,000","-2,323,000,000","333,000,000","75,000,000","541,000,000","749,000,000","1,013,000,000","1,333,000,000","1,342,000,000"
		NetIncomeIncludingNoncontrollingInterests,"6,405,000,000","1,761,000,000","1,706,000,000","1,932,000,000","1,006,000,000","1,261,000,000","-4,000,000","-217,000,000","258,000,000","-2,310,000,000","347,000,000","90,000,000","586,000,000","781,000,000","1,049,000,000","1,364,000,000","1,377,000,000"
			NetIncomeContinuousOperations,"6,405,000,000","1,761,000,000","1,706,000,000","1,932,000,000","1,006,000,000","1,261,000,000","-4,000,000","-217,000,000","258,000,000","-2,310,000,000","347,000,000","90,000,000","586,000,000","2,184,000,000","714,000,000","810,000,000","1,377,000,000"
			NetIncomeDiscontinuousOperations,"0",,,,,"0","0","0","0","0","0","0",,,"335,000,000","554,000,000",
		MinorityInterests,"-94,000,000","-25,000,000","-23,000,000","-31,000,000","-15,000,000","-18,000,000","-24,000,000","-8,000,000","-19,000,000","-13,000,000","-14,000,000","-15,000,000","-45,000,000","-32,000,000","-36,000,000","-31,000,000","-35,000,000"
	OtherunderPreferredStockDividend,"32,000,000"
DilutedNIAvailtoComStockholders,"6,279,000,000","1,704,000,000","1,683,000,000","1,901,000,000","991,000,000","1,243,000,000","-28,000,000","-225,000,000","239,000,000","-2,323,000,000","333,000,000","75,000,000","541,000,000","749,000,000","1,013,000,000","1,333,000,000","1,342,000,000"
BasicEPS,,"2.34","2.25","2.53","1.32","1.66","-0.04","-0.31","0.32","-3.14","0.45","0.1","0.721",,"1.351","1.777","1.789"
DilutedEPS,,"2.32","2.23","2.51","1.32","1.65","-0.04","-0.31","0.32","-3.14","0.45","0.1","0.721",,"1.351","1.777","1.789"
BasicAverageShares,,"738,100,000","744,500,000","747,000,000","744,800,000","742,100,000","740,500,000","739,300,000","740,200,000","740,200,000","739,800,000","742,800,000","748,800,000",,"750,000,000","750,000,000","750,000,000"
DilutedAverageShares,,"743,300,000","750,000,000","752,900,000","749,800,000","745,000,000","740,500,000","739,300,000","742,000,000","740,200,000","743,000,000","747,900,000","748,800,000",,"750,000,000","750,000,000","750,000,000"
TotalExpenses,"47,081,000,000","12,526,000,000","12,324,000,000","11,508,000,000","10,723,000,000","9,858,000,000","9,036,000,000","8,249,000,000","8,843,000,000","9,322,000,000","10,059,000,000","10,154,000,000","11,923,000,000","19,382,000,000","11,175,000,000","11,364,000,000","12,848,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"6,311,000,000","1,736,000,000","1,683,000,000","1,901,000,000","991,000,000","1,243,000,000","-28,000,000","-225,000,000","239,000,000","-2,323,000,000","333,000,000","75,000,000","541,000,000","749,000,000","1,013,000,000","1,333,000,000","1,342,000,000"
NormalizedIncome,"6,635,618,000","1,672,810,198.3","1,994,949,000","1,993,866,000","960,600,000","897,735,682.819","468,400,000","-187,040,000","343,972,000","-169,500,000","579,934,000","376,490,000","978,120,000","2,828,766,396.463","937,198,000","1,010,030,000","1,632,297,000"
InterestIncome,"55,000,000","20,000,000","14,000,000","13,000,000","8,000,000","11,000,000","6,000,000","6,000,000","15,000,000","23,000,000","19,000,000","21,000,000",,"49,000,000","22,000,000","18,000,000",
InterestExpense,"731,000,000","170,000,000","178,000,000","187,000,000","196,000,000","210,000,000","202,000,000","200,000,000","215,000,000","222,000,000","233,000,000","237,000,000","247,000,000","337,000,000","258,000,000","261,000,000","270,000,000"
NetInterestIncome,"-676,000,000","-150,000,000","-164,000,000","-174,000,000","-188,000,000","-199,000,000","-196,000,000","-194,000,000","-200,000,000","-199,000,000","-214,000,000","-216,000,000","-247,000,000","-288,000,000","-236,000,000","-243,000,000","-270,000,000"
EBIT,"8,876,000,000","2,288,000,000","2,426,000,000","2,643,000,000","1,519,000,000","2,026,000,000","244,000,000","17,000,000","611,000,000","-1,974,000,000","670,000,000","452,000,000","1,105,000,000","3,051,000,000","1,252,000,000","1,320,000,000","2,010,000,000"
EBITDA,"11,718,000,000"
ReconciledCostOfRevenue,"41,737,000,000","11,210,000,000","10,986,000,000","10,095,000,000","9,446,000,000","8,510,000,000","7,747,000,000","7,010,000,000","7,606,000,000","8,104,000,000","8,738,000,000","8,878,000,000","10,021,000,000","15,852,000,000","9,841,000,000","10,044,000,000","10,874,000,000"
ReconciledDepreciation,"2,842,000,000","655,000,000","725,000,000","745,000,000","717,000,000","726,000,000","724,000,000","700,000,000","724,000,000","713,000,000","739,000,000","646,000,000","840,000,000","1,146,000,000","732,000,000","614,000,000","837,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"6,311,000,000","1,736,000,000","1,683,000,000","1,901,000,000","991,000,000","1,243,000,000","-28,000,000","-225,000,000","239,000,000","-2,323,000,000","333,000,000","75,000,000","541,000,000","2,152,000,000","678,000,000","779,000,000","1,342,000,000"
TotalUnusualItemsExcludingGoodwill,"-413,000,000","76,000,000","-411,000,000","-118,000,000","40,000,000","500,000,000","-680,000,000","-52,000,000","-161,000,000","-2,950,000,000","-311,000,000","-413,000,000","-640,000,000","-841,000,000","-361,000,000","-302,000,000","-367,000,000"
TotalUnusualItems,"-413,000,000","76,000,000","-411,000,000","-118,000,000","40,000,000","500,000,000","-680,000,000","-52,000,000","-161,000,000","-2,950,000,000","-311,000,000","-413,000,000","-640,000,000","-841,000,000","-361,000,000","-302,000,000","-367,000,000"
NormalizedEBITDA,"12,131,000,000","2,867,000,000","3,562,000,000","3,506,000,000","2,196,000,000","2,252,000,000","1,648,000,000","769,000,000","1,496,000,000","1,689,000,000","1,720,000,000","1,511,000,000","2,585,000,000","5,038,000,000","2,345,000,000","2,236,000,000","3,214,000,000"
TaxRateForCalcs,"0.214","0.169","0.241","0.213","0.24","0.309","0.27","0.27","0.348","0.27","0.206","0.27","0.317","0.195","0.282","0.235","0.209"
TaxEffectOfUnusualItems,"-88,382,000","12,810,198.3","-99,051,000","-25,134,000","9,600,000","154,735,682.819","-183,600,000","-14,040,000","-56,028,000","-796,500,000","-64,066,000","-111,510,000","-202,880,000","-164,233,603.537","-101,802,000","-70,970,000","-76,703,000"
