name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004
				AmortizationOfIntangiblesIncomeStatement,"25,000,000","8,000,000","6,000,000","5,000,000","6,000,000","5,000,000","6,000,000","6,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","7,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","2,000,000","3,000,000","2,000,000","2,000,000","2,000,000","3,000,000","3,000,000","3,000,000","4,000,000","5,000,000","5,000,000","6,000,000","6,000,000","6,000,000","9,000,000","11,000,000","13,000,000","12,000,000","13,000,000","13,000,000","12,000,000","17,000,000","17,000,000","16,000,000","16,000,000","15,000,000","15,000,000","15,000,000","19,000,000","20,000,000","21,000,000","17,000,000","18,000,000","19,000,000","20,000,000","19,000,000","52,000,000","18,000,000","17,000,000","18,000,000",,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,"10,000,000","-1,000,000","6,000,000","102,000,000","7,000,000",,,,,"3,000,000",,"2,000,000",,,"55,000,000",,"3,000,000","4,000,000","5,000,000",,,"10,000,000","5,000,000","-5,000,000","-1,000,000","-3,000,000","1,000,000","147,000,000",,"3,000,000","4,000,000","13,000,000","-2,000,000","3,000,000",,"9,000,000","24,000,000","19,000,000",,,,"-9,000,000",,,,,,"133,000,000","-9,000,000","13,000,000","-10,000,000","-102,000,000","15,000,000","6,000,000","1,000,000","3,000,000","4,000,000",,"-1,000,000","-21,000,000","1,000,000",,"-4,000,000","0","-2,000,000","-1,000,000","29,000,000"
OperatingIncome,"1,938,000,000","520,000,000","523,000,000","573,000,000","322,000,000","214,000,000","196,000,000","104,000,000","201,000,000","168,000,000","271,000,000","282,000,000","311,000,000","262,000,000","364,000,000","360,000,000","344,000,000","221,000,000","249,000,000","249,000,000","248,000,000","116,000,000","251,000,000","246,000,000","289,000,000","27,000,000","188,000,000","207,000,000","260,000,000","-45,000,000","291,000,000","260,000,000","246,000,000","354,000,000","219,000,000","174,000,000","190,000,000","101,000,000","169,000,000","165,000,000","97,000,000","99,000,000","196,000,000","209,000,000","184,000,000","106,000,000","189,000,000","147,000,000","61,000,000","28,000,000","118,000,000","95,000,000","49,000,000","-187,000,000","163,000,000","207,000,000","250,000,000","298,000,000","153,000,000","173,000,000","239,000,000","185,000,000","200,000,000","177,000,000","198,000,000","165,000,000","116,000,000","183,000,000","204,000,000","61,000,000","55,000,000","25,000,000","52,000,000"
NetNonOperatingInterestIncomeExpense,"-92,000,000","-20,000,000","-28,000,000","-20,000,000","-24,000,000","-24,000,000","-27,000,000","-26,000,000","-26,000,000","-26,000,000","-26,000,000","-31,000,000","-30,000,000","-29,000,000","-28,000,000","-32,000,000","-31,000,000","-31,000,000","-31,000,000","-29,000,000","-29,000,000","-28,000,000","-32,000,000","-30,000,000","-34,000,000","-33,000,000","-29,000,000","-29,000,000","-27,000,000","-56,000,000","-42,000,000","-38,000,000","-39,000,000","-42,000,000","-44,000,000","-43,000,000","-43,000,000","-53,000,000","-44,000,000","-45,000,000","-44,000,000","-54,000,000","-53,000,000","-57,000,000","-54,000,000","-53,000,000","-48,000,000","-48,000,000","-48,000,000","-50,000,000","-49,000,000","-52,000,000","-48,000,000",,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"8,000,000","1,000,000","2,000,000","4,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","2,000,000","2,000,000","0","2,000,000","0","1,000,000","1,000,000","0","1,000,000","0","0","1,000,000","0","0","1,000,000","0","-4,000,000","3,000,000","2,000,000","0","0","0","1,000,000","0","1,000,000","0","0","1,000,000","1,000,000","1,000,000","0","1,000,000","5,000,000","0","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"91,000,000","21,000,000","21,000,000","24,000,000","25,000,000","26,000,000","28,000,000","27,000,000","28,000,000","28,000,000","27,000,000","29,000,000","31,000,000","30,000,000","30,000,000","32,000,000","33,000,000","31,000,000","32,000,000","30,000,000","29,000,000","29,000,000","28,000,000","30,000,000","33,000,000","33,000,000","29,000,000","30,000,000","27,000,000","27,000,000","41,000,000","40,000,000","39,000,000","42,000,000","43,000,000","44,000,000","43,000,000","51,000,000","44,000,000","45,000,000","45,000,000","55,000,000","54,000,000","57,000,000","55,000,000","58,000,000","48,000,000","49,000,000","49,000,000","51,000,000","51,000,000","54,000,000","51,000,000",,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"9,000,000","0","9,000,000",,,,,,,"0",,"4,000,000",,"1,000,000",,,,,,,,"0","4,000,000",,"2,000,000",,,,,"25,000,000","4,000,000",,,"0","1,000,000",,,"3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"402,000,000","57,000,000","127,000,000","107,000,000","111,000,000","1,381,000,000","72,000,000","69,000,000","117,000,000","-101,000,000","78,000,000","-12,000,000","104,000,000","-59,000,000","126,000,000","114,000,000","119,000,000","75,000,000","71,000,000","61,000,000","21,000,000","68,000,000","62,000,000","59,000,000","63,000,000","-264,000,000","66,000,000","49,000,000","73,000,000","70,000,000","98,000,000","130,000,000","66,000,000","643,000,000","53,000,000","77,000,000","71,000,000","65,000,000","48,000,000","144,000,000","54,000,000","49,000,000","58,000,000","128,000,000","50,000,000","77,000,000","50,000,000","125,000,000","-16,000,000","108,000,000","-20,000,000","79,000,000","-17,000,000","-67,000,000","55,000,000","80,000,000","36,000,000","173,000,000","17,000,000","-297,000,000","22,000,000","51,000,000","42,000,000","33,000,000","27,000,000","62,000,000","22,000,000","-1,000,000","-31,000,000","-37,000,000","-15,000,000","-24,000,000","9,000,000"
	GainOnSaleOfSecurity,"149,000,000","33,000,000","37,000,000","34,000,000","45,000,000","25,000,000","27,000,000","33,000,000","36,000,000","26,000,000","26,000,000","31,000,000","37,000,000","23,000,000","26,000,000","37,000,000","31,000,000","25,000,000","28,000,000","25,000,000","29,000,000","24,000,000","25,000,000","28,000,000","30,000,000","28,000,000","29,000,000","23,000,000","31,000,000","28,000,000","30,000,000","28,000,000","28,000,000","23,000,000","20,000,000","21,000,000","23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"146,000,000","36,000,000","44,000,000","37,000,000","29,000,000","21,000,000","25,000,000","31,000,000","57,000,000","48,000,000","45,000,000","39,000,000","50,000,000","53,000,000","66,000,000","56,000,000","58,000,000","48,000,000","50,000,000","38,000,000","47,000,000","41,000,000","41,000,000","35,000,000","38,000,000","43,000,000","50,000,000","40,000,000","48,000,000","53,000,000","52,000,000","101,000,000","40,000,000","30,000,000","41,000,000","55,000,000","54,000,000","79,000,000","50,000,000","62,000,000","51,000,000","46,000,000","57,000,000","46,000,000","43,000,000","37,000,000","37,000,000","45,000,000","26,000,000","4,000,000","19,000,000","27,000,000","-2,000,000","8,000,000","19,000,000","17,000,000","10,000,000","17,000,000","24,000,000","23,000,000","18,000,000","27,000,000","20,000,000","18,000,000","21,000,000","13,000,000","21,000,000","12,000,000","7,000,000","1,000,000","18,000,000",,
