name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
NormalizedIncome,"2,760,000,000","701,000,000","1,031,000,000","591,000,000","437,000,000","177,000,000","-140,000,000","-539,000,000","2,036,000,000","463,000,000","543,000,000","492,000,000","395,000,000","539,000,000","503,000,000","462,000,000","594,000,000","181,000,000","503,000,000","393,000,000","403,000,000","400,000,000","215,000,000","335,000,000","364,000,000","357,000,000","397,000,000","415,000,000","393,000,000","426,000,000","420,000,000","374,000,000","401,000,000","298,000,000","381,000,000","322,000,000","336,000,000","388,000,000","174,000,000","224,000,000","245,000,000","240,000,000","271,000,000","313,000,000","241,000,000","280,000,000","344,000,000","259,000,000","214,000,000","237,000,000","260,000,000","95,000,000","130,000,000","-369,000,000","-70,000,000","210,000,000","191,000,000","276,124,260.355","252,746,543.779","246,400,000","229,930,555.556","274,610,837.438","243,760,368.664","204,677,419.355","195,863,874.346","220,251,968.504","185,519,337.017","192,000,000","196,000,000","266,000,000","188,000,000"
InterestIncome,"-12,000,000","-2,000,000","-3,000,000","-2,000,000","-5,000,000","-6,000,000","-10,000,000","-18,000,000","-25,000,000","-30,000,000","-34,000,000","-37,000,000","-35,000,000","-29,000,000","-24,000,000","-20,000,000","-16,000,000","-14,000,000","-12,000,000","-12,000,000","-10,000,000","-10,000,000","-12,000,000","-8,000,000","-9,000,000","-9,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-7,000,000","-8,000,000","-8,000,000","-8,000,000","-10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"791,000,000","187,000,000","236,000,000","167,000,000","201,000,000","159,000,000","207,000,000","303,000,000","137,000,000","202,000,000","179,000,000","245,000,000","257,000,000","239,000,000","228,000,000","260,000,000","192,000,000","200,000,000","228,000,000","223,000,000","212,000,000","239,000,000","213,000,000","211,000,000","201,000,000","281,000,000","269,000,000","249,000,000","256,000,000","275,000,000","247,000,000","254,000,000","265,000,000","293,000,000","272,000,000","258,000,000","264,000,000","866,000,000","79,000,000","82,000,000","80,000,000","143,000,000","71,000,000","75,000,000","75,000,000","-664,000,000","316,000,000","325,000,000","313,000,000","257,000,000","277,000,000","265,000,000","231,000,000","75,000,000","70,000,000","28,000,000","46,000,000","19,000,000","29,000,000","32,000,000","32,000,000","33,000,000","32,000,000","28,000,000","23,000,000","21,000,000","16,000,000","19,000,000","17,000,000",,
NetInterestIncome,"-791,000,000","-187,000,000","-236,000,000","-167,000,000","-201,000,000","-159,000,000","-207,000,000","-303,000,000","-137,000,000","-202,000,000","-179,000,000","-245,000,000","-257,000,000","-239,000,000","-228,000,000","-260,000,000","-192,000,000","-200,000,000","-228,000,000","-223,000,000","-212,000,000","-239,000,000","-213,000,000","-211,000,000","-201,000,000","-281,000,000","-269,000,000","-249,000,000","-256,000,000","-275,000,000","-247,000,000","-254,000,000","-265,000,000","-293,000,000","-272,000,000","-258,000,000","-264,000,000","-866,000,000","-79,000,000","-82,000,000","-80,000,000","-143,000,000","-71,000,000","-75,000,000","-75,000,000","664,000,000","-316,000,000","-325,000,000","-313,000,000","-257,000,000","-277,000,000","-265,000,000","-231,000,000","-75,000,000","-70,000,000","-28,000,000","-46,000,000","-19,000,000","-29,000,000","-32,000,000","-32,000,000","-33,000,000","-32,000,000","-28,000,000","-23,000,000","-21,000,000","-16,000,000","-19,000,000","-17,000,000",,
EBIT,"4,141,000,000","1,053,000,000","1,506,000,000","888,000,000","694,000,000","349,000,000","23,000,000","-223,000,000","2,488,000,000","736,000,000","820,000,000","832,000,000","727,000,000","891,000,000","816,000,000","808,000,000","888,000,000","800,000,000","856,000,000","734,000,000","687,000,000","708,000,000","451,000,000","621,000,000","676,000,000","727,000,000","732,000,000","864,000,000","874,000,000","833,000,000","967,000,000","873,000,000","915,000,000","772,000,000","874,000,000","660,000,000","751,000,000","1,284,000,000","278,000,000","381,000,000","402,000,000","495,000,000","318,000,000","474,000,000","346,000,000","-339,000,000","758,000,000","791,000,000","674,000,000","588,000,000","617,000,000","380,000,000","365,000,000","-566,000,000","-92,000,000","265,000,000","241,000,000","357,000,000","246,000,000","277,000,000","248,000,000","236,000,000","249,000,000","214,000,000","214,000,000","148,000,000","197,000,000","19,000,000","17,000,000",,
ReconciledDepreciation,"98,000,000","3,000,000","-25,000,000","60,000,000","60,000,000","57,000,000","54,000,000","49,000,000","47,000,000","51,000,000","41,000,000","45,000,000","46,000,000","46,000,000","45,000,000","51,000,000","56,000,000","58,000,000","55,000,000","58,000,000","63,000,000","61,000,000","60,000,000","62,000,000","65,000,000","63,000,000","62,000,000","57,000,000","66,000,000","61,000,000","64,000,000","66,000,000","63,000,000","64,000,000","59,000,000","58,000,000","58,000,000","57,000,000","58,000,000","54,000,000","56,000,000","49,000,000","-6,000,000","37,000,000","30,000,000","31,000,000","31,000,000","26,000,000","22,000,000","19,000,000","20,000,000","28,000,000","53,000,000","-539,000,000","314,000,000","189,000,000","240,000,000","231,000,000","117,000,000","253,000,000","179,000,000","146,000,000","139,000,000","221,000,000","180,000,000","66,000,000","146,000,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"2,760,000,000","701,000,000","1,031,000,000","591,000,000","437,000,000","177,000,000","-140,000,000","-539,000,000","2,036,000,000","463,000,000","543,000,000","492,000,000","395,000,000","539,000,000","503,000,000","462,000,000","594,000,000","181,000,000","503,000,000","393,000,000","403,000,000","400,000,000","215,000,000","335,000,000","364,000,000","357,000,000","397,000,000","415,000,000","393,000,000","426,000,000","420,000,000","374,000,000","401,000,000","298,000,000","381,000,000","322,000,000","336,000,000","388,000,000","174,000,000","224,000,000","245,000,000","240,000,000","271,000,000","313,000,000","241,000,000","280,000,000","344,000,000","259,000,000","214,000,000","237,000,000","260,000,000","95,000,000","130,000,000","-369,000,000","-70,000,000","210,000,000","191,000,000","255,000,000","198,000,000","196,000,000","165,000,000","171,000,000","174,000,000","141,000,000","145,000,000","111,000,000","123,000,000","155,000,000","183,000,000","266,000,000","188,000,000"
TotalUnusualItemsExcludingGoodwill,"0",,,,,,,,,"213,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-28,000,000","-60,000,000","-63,000,000","-85,000,000","-123,000,000","-87,000,000","-84,000,000","-67,000,000","-125,000,000","-92,000,000","-37,000,000","-13,000,000",,
TotalUnusualItems,"0",,,,,,,,,"213,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-28,000,000","-60,000,000","-63,000,000","-85,000,000","-123,000,000","-87,000,000","-84,000,000","-67,000,000","-125,000,000","-92,000,000","-37,000,000","-13,000,000",,
TaxRateForCalcs,"0.176","0.191","0.188","0.181","0.113","0.068","0.235","0.27","0.134","0.133","0.154","0.161","0.159","0.173","0.144","0.157","0.147","0.4","0.199","0.231","0.152","0.147","0.097","0.184","0.233","0.148","0.241","0.226","0.225","0.186","0.216","0.245","0.207","0.203","0.255","0.296","0.25","0.208","0.236","0.35","0.227","0.19","0.328","0.286","0.177","0.218","0.294","0.146","0.18","0.172","0.235","0.243","0.134","0.35","0.35","0.114","0.021","0.246","0.088","0.2","0.236","0.158","0.198","0.242","0.241","0.126","0.32","0","0","0.171","0.28"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6,875,739.645","-5,253,456.221","-12,600,000","-20,069,444.444","-19,389,162.562","-17,239,631.336","-20,322,580.645","-16,136,125.654","-15,748,031.496","-29,480,662.983","0","0","0","0"
