name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010
		NetIncomeIncludingNoncontrollingInterests,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","70,000,000","104,000,000","100,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","97,000,000","91,000,000","56,000,000"
			NetIncomeContinuousOperations,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","70,000,000","104,000,000","100,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","97,000,000","91,000,000","56,000,000"
		MinorityInterests,"0",,,,,,,,,,,,,"0","0",,,"1,000,000","1,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"427,000,000","113,000,000","114,000,000","113,000,000","87,000,000","148,000,000","37,000,000","31,000,000","38,000,000","118,000,000","65,000,000","139,000,000","79,000,000","225,000,000","130,000,000","115,000,000","79,000,000","71,000,000","105,000,000","99,000,000","56,000,000","50,000,000","73,000,000","71,000,000","66,000,000","114,000,000","88,000,000","74,000,000","64,000,000","96,000,000","106,000,000","86,000,000","49,000,000","68,000,000","73,000,000","46,000,000","41,000,000","73,000,000","72,000,000","89,000,000","63,000,000","52,000,000","77,000,000","72,000,000","78,000,000","82,000,000","91,000,000","56,000,000"
BasicEPS,,,"0.63","0.63","0.49",,"0.2","0.17","0.21",,"0.36","0.77","0.44",,"0.73","0.64","0.44",,"0.58","0.55","0.31",,"0.41","0.39","0.37",,"0.48","0.41","0.35",,"0.58","0.47","0.27",,"0.39","0.25","0.22",,"0.39","0.48","0.34",,"0.418","0.39","0.423",,"0.493","0.303"
DilutedEPS,,,"0.63","0.62","0.48",,"0.2","0.17","0.21",,"0.36","0.77","0.43",,"0.72","0.64","0.43",,"0.58","0.55","0.31",,"0.41","0.39","0.37",,"0.48","0.41","0.35",,"0.58","0.47","0.27",,"0.39","0.25","0.22",,"0.38","0.48","0.34",,"0.418","0.39","0.423",,"0.493","0.303"
BasicAverageShares,,,"180,200,000","180,100,000","180,300,000",,"180,000,000","180,000,000","180,200,000",,"180,100,000","180,000,000","179,700,000",,"179,700,000","179,800,000","179,900,000",,"179,600,000","179,600,000","179,600,000",,"179,300,000","179,100,000","178,600,000",,"180,800,000","181,500,000","182,100,000",,"182,200,000","183,400,000","184,500,000",,"185,200,000","185,400,000","185,800,000",,"185,900,000","185,800,000","185,400,000",,"184,000,000","184,600,000","184,600,000",,"184,600,000","184,600,000"
DilutedAverageShares,,,"181,600,000","181,300,000","181,500,000",,"181,000,000","180,600,000","181,300,000",,"181,200,000","181,200,000","181,100,000",,"181,100,000","181,000,000","181,400,000",,"180,900,000","180,600,000","180,700,000",,"180,300,000","179,900,000","179,300,000",,"181,600,000","182,300,000","183,100,000",,"183,400,000","184,500,000","185,800,000",,"186,000,000","186,100,000","186,400,000",,"186,300,000","186,200,000","185,900,000",,"184,000,000","184,600,000","184,600,000",,"184,600,000","184,600,000"
TotalOperatingIncomeAsReported,"585,000,000","140,000,000","152,000,000","160,000,000","133,000,000","179,000,000","73,000,000","54,000,000","61,000,000","195,000,000","11,000,000","171,000,000","109,000,000","194,000,000","176,000,000","171,000,000","113,000,000","179,000,000","152,000,000","139,000,000","86,000,000","109,000,000","109,000,000","109,000,000","79,000,000","142,000,000","120,000,000","104,000,000","83,000,000","141,000,000","130,000,000","116,000,000","76,000,000","129,000,000","98,000,000","70,000,000","66,000,000","104,000,000","111,000,000","129,000,000","99,000,000","99,000,000","79,000,000","116,000,000","100,000,000","111,000,000","107,000,000","69,000,000"
TotalExpenses,"4,603,000,000","1,183,000,000","1,115,000,000","1,188,000,000","1,117,000,000","1,188,000,000","1,070,000,000","1,058,000,000","1,060,000,000","1,171,000,000","1,104,000,000","1,160,000,000","1,117,000,000","1,189,000,000","1,107,000,000","1,141,000,000","1,094,000,000","1,095,000,000","1,039,000,000","1,019,000,000","973,000,000","974,000,000","782,000,000","817,000,000","762,000,000","851,000,000","781,000,000","815,000,000","751,000,000","893,000,000","833,000,000","886,000,000","815,000,000","891,000,000","861,000,000","869,000,000","807,000,000","830,000,000","816,000,000","837,000,000","826,000,000","971,000,000","812,000,000","855,000,000","790,000,000","817,000,000","698,000,000","613,000,000"
