name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
EBIT,"780,700,000","171,000,000","200,800,000","211,300,000","146,400,000","1,035,800,000","309,000,000","196,400,000","204,900,000","295,200,000","242,100,000","249,500,000","217,300,000","138,900,000","320,600,000","381,300,000","337,500,000","355,800,000","371,200,000","348,300,000","294,900,000","337,700,000","323,200,000","322,100,000","263,000,000","338,100,000","301,800,000","335,700,000","294,100,000","319,000,000"
EBITDA,"1,176,200,000"
ReconciledCostOfRevenue,"2,247,600,000","580,800,000","555,300,000","564,200,000","547,300,000","-487,600,000","918,900,000","756,900,000","837,700,000","966,500,000","932,300,000","960,700,000","780,200,000","428,600,000","915,800,000","917,100,000","869,900,000","896,700,000","845,900,000","823,700,000","791,200,000","830,500,000","794,500,000","787,000,000","779,500,000","823,200,000","777,400,000","800,100,000","782,800,000","882,000,000"
ReconciledDepreciation,"395,500,000","104,000,000","98,800,000","95,700,000","97,000,000","31,400,000","115,900,000","119,100,000","117,600,000","117,100,000","116,800,000","110,400,000","81,900,000","76,000,000","66,600,000","58,200,000","60,000,000","60,400,000","39,900,000","37,100,000","36,700,000","42,500,000","45,100,000","44,900,000","43,900,000","44,700,000","43,600,000","44,900,000","43,700,000","42,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"614,200,000","169,400,000","151,100,000","182,000,000","111,700,000","1,053,800,000","225,800,000","130,300,000","42,300,000","178,800,000","207,300,000","175,300,000","164,000,000","116,800,000","245,300,000","295,000,000","261,200,000","336,900,000","267,800,000","240,100,000","199,700,000","224,500,000","226,900,000","238,900,000","182,000,000","236,100,000","196,600,000","227,400,000","203,700,000","228,900,000"
TotalUnusualItemsExcludingGoodwill,"-18,000,000","3,900,000","0","26,000,000","-47,900,000","1,204,500,000","0","0","-85,300,000","-400,000","41,200,000",,,"0","0",,,"0","15,300,000",,,,,,,"0",,,,"0"
TotalUnusualItems,"-18,000,000","3,900,000","0","26,000,000","-47,900,000","1,204,500,000","0","0","-85,300,000","-400,000","41,200,000",,,"0","0",,,"0","15,300,000",,,,,,,"0",,,,"0"
NormalizedEBITDA,"1,194,200,000","271,100,000","299,600,000","281,000,000","291,300,000","-137,300,000","424,900,000","315,500,000","407,800,000","412,700,000","317,700,000","359,900,000","299,200,000","214,900,000","387,200,000","439,500,000","397,500,000","416,200,000","395,800,000","385,400,000","331,600,000","380,200,000","368,300,000","367,000,000","306,900,000","382,800,000","345,400,000","380,600,000","337,800,000","361,200,000"
TaxRateForCalcs,"0.093","0.044","0.132","0.123","0.059","0.27","0.148","0.149","0.27","0.263","0.118","0.142","0.148","0.27","0.172","0.171","0.165","0.003","0.231","0.263","0.267","0.287","0.243","0.252","0.308","0.302","0.349","0.323","0.307","0.282"
TaxEffectOfUnusualItems,"-1,674,000","171,670.429","0","3,198,000","-2,826,100","325,215,000","0","0","-23,031,000","-105,315.204","4,861,600","0","0","0","0","0","0","0","3,534,300","0","0","0","0","0","0","0","0","0","0","0"
