name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
	OtherOperatingExpenses,"698,000,000","-17,000,000","64,000,000","40,000,000","611,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"997,000,000","1,011,000,000","816,000,000",,"943,000,000","842,000,000","784,000,000","798,000,000","1,058,000,000","732,000,000","743,000,000","511,263,000","668,373,000","437,149,000","452,922,000","460,591,000","421,985,000","358,410,000","399,769,000","-685,473,000","404,388,000","138,584,000","62,350,000","-234,669,000","3,026,419,000","102,832,000","68,107,000",,"69,935,000","44,655,000","54,191,000",,"41,727,000","31,108,000",,,"20,650,000","16,288,000"
OperatingIncome,"3,731,000,000","-459,000,000","2,336,000,000","1,885,000,000","-31,000,000","30,000,000","422,000,000","484,000,000","241,000,000","215,000,000","541,000,000","322,000,000","233,000,000","44,000,000","429,000,000","417,000,000","424,000,000","318,000,000","394,000,000","363,000,000","45,000,000","5,000,000","497,000,000","290,000,000","446,000,000","27,000,000","645,000,000","235,000,000","72,000,000","495,000,000","636,000,000","129,000,000","173,000,000","264,000,000","561,000,000","332,000,000","-227,000,000","144,000,000","86,000,000","397,000,000","-170,000,000","9,000,000","203,000,000","269,000,000","314,000,000","152,000,000","454,000,000","444,000,000","235,000,000","314,000,000","611,000,000","642,000,000","615,000,000","517,000,000","1,449,000,000","57,000,000","250,000,000","295,000,000","554,000,000","438,000,000","256,000,000","100,000,000","715,000,000","430,000,000","215,000,000","162,518,000","-784,000","46,505,000","49,902,000","-4,261,000","78,998,000","116,259,000","125,422,000","546,419,000","-235,482,000","-119,597,000","215,000","246,392,000","-2,921,363,000","52,778,000","50,018,000","316,699,000","198,238,000","91,765,000","108,120,000","128,799,000","227,209,000","154,128,000","62,937,000","50,761,000","57,948,000","2,956,000"
NetNonOperatingInterestIncomeExpense,"-485,000,000","-111,000,000","-122,000,000","-125,000,000","-127,000,000","-109,000,000","-99,000,000","-96,000,000","-98,000,000","-95,000,000","-99,000,000","-105,000,000","-114,000,000","-122,000,000","-121,000,000","-202,000,000","-167,000,000","-198,000,000","-221,000,000","-247,000,000","-269,000,000","-220,000,000","-280,000,000","-277,000,000","-284,000,000","-273,000,000","-291,000,000","-263,000,000","-301,000,000","-310,000,000","-280,000,000","-274,000,000","-255,000,000","-218,000,000","-228,000,000","-206,000,000","-196,000,000","-166,000,000","-163,000,000","-167,000,000","-165,000,000","-161,000,000","-164,000,000","-167,000,000","-173,000,000","-163,000,000","-168,000,000","-147,000,000","-153,000,000","-159,000,000","-178,000,000","-159,000,000","-138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"485,000,000","111,000,000","122,000,000","125,000,000","127,000,000","109,000,000","99,000,000","96,000,000","98,000,000","95,000,000","99,000,000","105,000,000","114,000,000","122,000,000","121,000,000","202,000,000","167,000,000","198,000,000","221,000,000","247,000,000","269,000,000","220,000,000","280,000,000","277,000,000","284,000,000","273,000,000","291,000,000","263,000,000","301,000,000","310,000,000","280,000,000","274,000,000","255,000,000","218,000,000","228,000,000","206,000,000","196,000,000","166,000,000","163,000,000","167,000,000","165,000,000","161,000,000","164,000,000","167,000,000","173,000,000","163,000,000","168,000,000","147,000,000","153,000,000","159,000,000","178,000,000","159,000,000","138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-387,000,000","-25,000,000","-51,000,000","-302,000,000","-9,000,000","-59,000,000","18,000,000","26,000,000","1,000,000","0","-62,000,000","-29,000,000","-21,000,000","-75,000,000","5,000,000","-86,000,000","-25,000,000","-1,785,000,000","23,000,000","-13,000,000","17,000,000","-919,000,000","225,000,000","-264,000,000","-94,000,000","-4,727,000,000","-240,000,000","2,000,000","20,000,000","-17,000,000","-85,000,000","-61,000,000","-16,000,000","-586,000,000","-27,000,000","-50,000,000","-53,000,000","459,000,000","-28,000,000","16,000,000","9,000,000","15,000,000","-174,000,000","-111,000,000","-506,000,000","2,000,000","26,000,000","30,000,000","18,000,000","-8,000,000","11,000,000","94,000,000","19,000,000","27,000,000","51,000,000","-7,000,000","5,000,000","61,000,000","34,000,000","-14,000,000","46,000,000","47,000,000","47,000,000","16,000,000","99,000,000","-24,344,000","18,354,000","35,675,000","33,987,000","66,050,000","45,351,000","55,358,000","19,090,000","102,862,000","-850,000","-381,836,000","11,812,000","-34,001,000","34,680,000","6,915,000","-813,000","-9,597,000","23,172,000","11,863,000","2,082,000","-5,389,000","346,000","34,000","-267,000","9,466,000","2,196,000","2,574,000"
	EarningsFromEquityInterest,"17,000,000","-6,000,000","15,000,000","14,000,000","-6,000,000","-20,000,000","36,000,000","12,000,000","-11,000,000","-6,000,000","29,000,000","0","-21,000,000","-17,000,000","20,000,000","18,000,000","-2,000,000","-15,000,000","41,000,000","39,000,000","5,000,000","14,000,000","16,000,000","4,000,000","-7,000,000","7,000,000","24,000,000","8,000,000","-3,000,000","-1,000,000","18,000,000","14,000,000","7,000,000","1,000,000","-5,000,000","8,000,000","3,000,000","11,000,000","4,000,000","14,000,000","8,000,000","9,000,000","16,000,000","12,000,000","-2,000,000","3,000,000","16,000,000","11,000,000","14,000,000","8,000,000","6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-467,000,000","-40,000,000","-74,000,000","-328,000,000","-25,000,000","-54,000,000","-29,000,000",,"-15,000,000","-11,000,000","-108,000,000","-49,000,000","-12,000,000","-80,000,000","-32,000,000","-84,000,000","-20,000,000","-1,775,000,000","-33,000,000","-62,000,000","0","-940,000,000","200,000,000","-276,000,000","-105,000,000","-4,740,000,000","-268,000,000","-10,000,000","4,000,000","-25,000,000","-100,000,000","-80,000,000","-34,000,000","-591,000,000","-27,000,000","-58,000,000","-60,000,000","429,000,000","-32,000,000","2,000,000","1,000,000","6,000,000","-190,000,000","-123,000,000","-504,000,000","-1,000,000","10,000,000","19,000,000","4,000,000","-144,000,000","5,000,000","94,000,000","19,000,000","-32,000,000","51,000,000","-7,000,000","5,000,000","7,000,000","34,000,000","-14,000,000","46,000,000","47,000,000","47,000,000","16,000,000","99,000,000","-24,344,000","18,354,000","35,675,000","33,987,000","66,050,000","45,351,000","55,358,000","19,090,000","102,862,000","-850,000","-381,836,000","11,812,000","-34,001,000","34,680,000","6,915,000","-813,000","-9,597,000","23,172,000","11,863,000","2,082,000","-5,389,000","346,000","34,000","-267,000","9,466,000","2,196,000","2,574,000"
		RestructuringAndMergernAcquisition,"93,000,000","12,000,000","17,000,000","22,000,000","42,000,000","-3,000,000","0",,"3,000,000","7,000,000","1,000,000","2,000,000","13,000,000","20,000,000","27,000,000","23,000,000","20,000,000","26,000,000","18,000,000","1,000,000",,"1,000,000",,"5,000,000","2,000,000","-6,000,000","3,000,000","3,000,000","10,000,000","15,000,000","17,000,000","40,000,000","12,000,000","33,000,000","26,000,000","37,000,000","32,000,000",,,,,,,,,,"0","0",,,,"23,000,000",,,,,,,,,,,,,,,,,,,,,,"-60,444,000","6,252,000","370,315,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"544,000,000","238,000,000","0","306,000,000",,"46,000,000","29,000,000",,,"4,000,000","0","1,000,000",,"25,000,000","0","74,000,000",,"1,632,000,000","14,000,000","63,000,000",,"795,000,000","8,000,000","115,000,000",,"4,767,000,000","263,000,000",,,"27,000,000","70,000,000",,,,,,,"-2,000,000","1,000,000","0","1,000,000","0","163,000,000","11,000,000","481,000,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"0","0","0","0","0","0","0",,"18,000,000","1,000,000","107,000,000",,,,,,,"79,000,000","0","0","0","121,000,000","8,000,000","-7,000,000","146,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
