name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,"0",,,,"40,687,000",,,,,,,,,,,,"0",,,,,,,,,,,,"0",,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,000","0","186,000","0","629,000","0","0","4,180,000",,"0","0","0",,
		OtherSpecialCharges,"831,000","0",,"831,000",,,,,,"926,000",,,,"0",,"1,332,000",,,,,,"574,000",,,,"0",,"3,427,000","1,368,000","248,000","1,836,000",,,"0",,"13,497,000","1,839,000",,,,,"-216,000","803,000","327,000","205,000","314,000","216,000","259,000","316,000","265,000","-915,000","-4,106,000","-8,783,000","-59,713,000",
	OtherNonOperatingIncomeExpenses,"2,759,000","223,000","-400,000","-373,000","3,309,000","581,000","-557,000","-216,000","-1,914,000","-10,985,000","-414,000","-393,000","-1,061,000","-2,946,000","-483,000","-861,000","-1,383,000","-497,000","-1,519,000","-1,437,000","223,000","338,000","19,000","158,000","387,000","-130,000","-1,908,000","-1,840,000","-1,609,000","-220,000","-1,444,000","-366,000","568,000","-756,000","-117,000","-1,909,000","396,000","-448,000",,,,,,,,,,,,,,,,,
PretaxIncome,"691,526,000","166,578,000","165,364,000","174,271,000","185,313,000","163,986,000","147,285,000","82,065,000","52,855,000","83,359,000","94,961,000","80,533,000","60,754,000","96,683,000","96,594,000","72,613,000","45,186,000","83,098,000","60,631,000","39,859,000","21,100,000","66,061,000","41,526,000","32,864,000","15,931,000","15,554,000","53,254,000","23,472,000","30,703,000","66,854,000","54,862,000","82,422,000","54,224,000","78,458,000","74,045,000","46,789,000","79,424,000","49,682,000","41,867,000","15,699,000","49,104,000","29,148,000","37,505,000","15,376,000","4,937,000","18,683,000","23,076,000","12,911,000","2,550,000","11,963,000","14,428,000","11,104,000","5,899,000","-528,134,000","-4,520,000"
TaxProvision,"134,957,000","20,616,000","32,611,000","46,362,000","35,368,000","39,006,000","32,050,000","18,473,000","9,444,000","13,423,000","20,064,000","18,827,000","14,985,000","19,986,000","20,072,000","18,382,000","11,416,000","607,000","20,581,000","14,114,000","8,251,000","24,416,000","15,514,000","11,921,000","5,719,000","6,372,000","19,218,000","8,628,000","11,018,000","17,464,000","18,365,000","28,397,000","19,523,000","29,940,000","26,952,000","18,535,000","28,750,000","21,395,000","16,326,000","6,364,000","19,044,000","-237,983,000","126,000","87,000","93,000","70,000","78,000","77,000","82,000","15,000","112,000","107,000","105,000","-12,369,000","8,625,000"
NetIncomeCommonStockholders,"533,392,000","131,480,000","124,013,000","128,783,000","149,116,000","126,035,000","115,781,000","64,575,000","42,938,000","70,676,000","74,089,000","61,202,000","47,293,000","74,487,000","68,864,000","50,956,000","25,980,000","82,084,000","39,709,000","25,660,000","13,456,000","40,600,000","26,183,000","20,888,000","10,208,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","-152,397,000","-18,365,000","-14,742,000","-17,054,000","-21,126,000","-540,090,000","-80,172,000"
	NetIncome,"533,392,000","131,480,000","124,013,000","128,783,000","149,116,000","126,035,000","115,781,000","64,575,000","42,938,000","70,676,000","74,089,000","61,202,000","47,293,000","74,487,000","68,864,000","50,956,000","25,980,000","82,084,000","39,709,000","25,660,000","13,456,000","40,600,000","26,183,000","20,888,000","10,208,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","2,468,000","11,948,000","14,316,000","10,997,000","5,794,000","-515,765,000","-13,145,000"
		NetIncomeIncludingNoncontrollingInterests,"556,569,000","145,962,000","132,753,000","127,909,000","149,945,000","124,980,000","115,235,000","63,592,000","43,411,000","69,936,000","74,897,000","61,706,000","45,769,000","76,697,000","76,522,000","54,231,000","33,770,000","82,491,000","40,050,000","25,745,000","12,849,000","41,645,000","26,012,000","20,943,000","10,212,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","2,468,000","11,948,000","14,316,000","10,997,000","5,794,000","-515,765,000","-13,145,000"
			NetIncomeContinuousOperations,"556,569,000","145,962,000","132,753,000","127,909,000","149,945,000","124,980,000","115,235,000","63,592,000","43,411,000","69,936,000","74,897,000","61,706,000","45,769,000","76,697,000","76,522,000","54,231,000","33,770,000","82,491,000","40,050,000","25,745,000","12,849,000","41,645,000","26,012,000","20,943,000","10,212,000","9,182,000","34,036,000","14,844,000","19,685,000","49,390,000","36,497,000","54,025,000","34,701,000","48,518,000","47,093,000","28,254,000","50,674,000","28,287,000","25,541,000","9,335,000","30,060,000","267,131,000","37,379,000","15,289,000","4,844,000","18,613,000","22,998,000","12,834,000","2,468,000","11,948,000","14,316,000","10,997,000","5,794,000","-515,765,000","-13,145,000"
