name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010,12/31/2009,09/30/2009
PretaxIncome,"6,786,000,000","866,000,000","2,215,000,000","2,563,000,000","1,142,000,000","896,000,000","-11,000,000","283,000,000","218,000,000","752,000,000","1,105,000,000","1,175,000,000","1,020,000,000","796,000,000","1,347,000,000","1,634,000,000","1,534,000,000","1,342,000,000","1,438,000,000","1,593,000,000","1,120,000,000","1,052,000,000","1,281,000,000","1,438,000,000","1,462,000,000","1,059,000,000","1,676,000,000","1,867,000,000","1,607,000,000","1,094,000,000","1,694,000,000","1,598,000,000","1,326,000,000","1,207,000,000","1,193,000,000","1,333,000,000","1,263,000,000","930,000,000","1,286,000,000","1,074,000,000","901,000,000","-310,000,000","1,384,000,000","1,191,000,000","923,000,000","162,000,000","721,000,000","20,000,000","-1,405,000,000","-983,000,000"
TaxProvision,"1,163,000,000","135,000,000","452,000,000","506,000,000","70,000,000","39,000,000","-125,000,000","-32,000,000","75,000,000","140,000,000","136,000,000","169,000,000","203,000,000","99,000,000","232,000,000","-21,000,000","303,000,000","-556,000,000","380,000,000","459,000,000","315,000,000","282,000,000","326,000,000","346,000,000","432,000,000","262,000,000","487,000,000","541,000,000","440,000,000","298,000,000","434,000,000","425,000,000","383,000,000","30,000,000","339,000,000","410,000,000","357,000,000","285,000,000","435,000,000","306,000,000","302,000,000","-92,000,000","489,000,000","388,000,000","263,000,000","-542,000,000","254,000,000","12,000,000","-560,000,000","-332,000,000"
NetIncomeCommonStockholders,"5,589,000,000","715,000,000","1,756,000,000","2,052,000,000","1,066,000,000","852,000,000","111,000,000","312,000,000","142,000,000","609,000,000","961,000,000","1,000,000,000","814,000,000","688,000,000","1,111,000,000","1,653,000,000","1,230,000,000","1,892,000,000","1,056,000,000","1,130,000,000","796,000,000","762,000,000","951,000,000","1,090,000,000","1,029,000,000","794,000,000","1,184,000,000","1,328,000,000","1,162,000,000","791,000,000","1,254,000,000","1,174,000,000","943,000,000","1,171,000,000","851,000,000","926,000,000","898,000,000","629,000,000","846,000,000","770,000,000","600,000,000","-215,000,000","895,000,000","804,000,000","663,000,000","771,000,000","474,000,000","10,000,000","-848,000,000","-650,000,000"
	NetIncome,"5,596,000,000","710,000,000","1,760,000,000","2,058,000,000","1,068,000,000","853,000,000","112,000,000","313,000,000","142,000,000","605,000,000","965,000,000","1,003,000,000","817,000,000","692,000,000","1,113,000,000","1,654,000,000","1,231,000,000","1,894,000,000","1,057,000,000","1,131,000,000","797,000,000","763,000,000","952,000,000","1,091,000,000","1,030,000,000","795,000,000","1,185,000,000","1,330,000,000","1,166,000,000","793,000,000","1,258,000,000","1,178,000,000","945,000,000","1,174,000,000","853,000,000","929,000,000","901,000,000","632,000,000","846,000,000","770,000,000","600,000,000","-215,000,000","895,000,000","804,000,000","663,000,000","771,000,000","474,000,000","10,000,000","-848,000,000","-650,000,000"
		NetIncomeIncludingNoncontrollingInterests,"5,617,000,000","726,000,000","1,762,000,000","2,059,000,000","1,070,000,000","855,000,000","114,000,000","314,000,000","144,000,000","612,000,000","965,000,000","1,003,000,000","817,000,000","692,000,000","1,113,000,000","1,654,000,000","1,231,000,000","1,894,000,000","1,056,000,000","1,130,000,000","797,000,000","763,000,000","953,000,000","1,091,000,000","1,030,000,000","795,000,000","1,186,000,000","1,329,000,000","1,164,000,000","791,000,000","1,257,000,000","1,176,000,000","944,000,000","1,175,000,000","851,000,000","927,000,000","900,000,000","623,000,000","844,000,000","768,000,000","599,000,000","-218,000,000","895,000,000","803,000,000","660,000,000","766,000,000","467,000,000","8,000,000","-844,000,000","-651,000,000"
			NetIncomeContinuousOperations,"5,623,000,000","731,000,000","1,763,000,000","2,057,000,000","1,072,000,000","857,000,000","114,000,000","315,000,000","143,000,000","612,000,000","969,000,000","1,006,000,000","817,000,000","697,000,000","1,115,000,000","1,655,000,000","1,231,000,000","1,898,000,000","1,058,000,000","1,134,000,000","805,000,000","770,000,000","955,000,000","1,092,000,000","1,030,000,000","797,000,000","1,189,000,000","1,326,000,000","1,167,000,000","796,000,000","1,260,000,000","1,173,000,000","943,000,000","1,177,000,000","854,000,000","923,000,000","906,000,000","645,000,000","851,000,000","768,000,000","599,000,000","-218,000,000","895,000,000","803,000,000","660,000,000","704,000,000","467,000,000","8,000,000","-845,000,000","-651,000,000"
			NetIncomeDiscontinuousOperations,"-6,000,000","-5,000,000","-1,000,000","2,000,000","-2,000,000","-2,000,000","0","-1,000,000","1,000,000","0","-4,000,000","-3,000,000",,"-5,000,000","-2,000,000","-1,000,000","0","-4,000,000","-2,000,000","-4,000,000","-8,000,000","-7,000,000","-2,000,000","-1,000,000","0","-2,000,000","-3,000,000","3,000,000","-3,000,000","-5,000,000","-3,000,000","3,000,000","1,000,000","-2,000,000","-3,000,000","4,000,000","-6,000,000","-22,000,000","-7,000,000","0",,,,"0",,,,,,
		MinorityInterests,"-21,000,000","-16,000,000","-2,000,000","-1,000,000","-2,000,000","-2,000,000","-2,000,000","-1,000,000","-2,000,000",,,,,"0","0",,"0","0","1,000,000","1,000,000","0","0","-1,000,000","0","0","0","-1,000,000","1,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,000,000","-1,000,000","2,000,000","2,000,000","1,000,000","9,000,000","2,000,000","2,000,000","1,000,000","3,000,000","0","1,000,000","3,000,000","5,000,000","7,000,000","2,000,000",,"1,000,000"
	OtherunderPreferredStockDividend,"7,000,000","-5,000,000","4,000,000","6,000,000","2,000,000","1,000,000","1,000,000","1,000,000",,"-4,000,000","4,000,000","3,000,000","3,000,000","4,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","4,000,000","2,000,000","4,000,000","4,000,000","2,000,000","3,000,000","2,000,000","3,000,000","3,000,000",,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"5,589,000,000","715,000,000","1,756,000,000","2,052,000,000","1,066,000,000","852,000,000","111,000,000","312,000,000","142,000,000","609,000,000","961,000,000","1,000,000,000","814,000,000","683,000,000","1,111,000,000","1,653,000,000","1,230,000,000","1,892,000,000","1,056,000,000","1,130,000,000","796,000,000","762,000,000","951,000,000","1,090,000,000","1,029,000,000","794,000,000","1,184,000,000","1,328,000,000","1,162,000,000","791,000,000","1,254,000,000","1,174,000,000","943,000,000","1,171,000,000","851,000,000","926,000,000","898,000,000","629,000,000","846,000,000","770,000,000","600,000,000","-215,000,000","895,000,000","804,000,000","663,000,000","771,000,000","474,000,000","10,000,000","-848,000,000","-650,000,000"
