name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
	InterestIncomeNonOperating,"9,000,000","4,000,000","2,000,000","1,000,000","2,000,000","2,000,000","3,000,000","3,000,000","10,000,000","14,000,000","17,000,000","17,000,000","11,000,000","10,000,000","34,000,000","16,000,000","11,000,000","9,287,000","9,329,000","9,262,000","6,259,000","5,377,000","5,827,000","4,955,000","3,567,000","2,292,000","4,165,000","4,693,000","5,545,000","6,532,000","8,075,000","6,883,000","5,798,000","4,942,000","6,642,000","7,278,000","5,917,000","5,822,000","7,759,000","7,072,000","5,743,000","5,363,000","5,893,000","5,536,000","3,426,000","2,890,000","2,454,000","1,221,000","595,000","965,000","1,153,000","1,417,000","2,671,000",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"351,000,000","84,000,000","86,000,000","83,000,000","98,000,000","102,000,000","113,000,000","95,000,000","50,000,000","53,000,000","40,000,000","39,000,000","41,000,000","41,000,000","47,000,000","51,000,000","51,000,000","52,073,000","44,001,000","42,661,000","42,977,000","42,875,000","43,374,000","42,939,000","43,960,000","36,427,000","33,259,000","28,515,000","27,994,000","28,406,000","25,558,000","22,321,000","21,804,000","22,015,000","21,966,000","21,629,000","21,748,000","22,306,000","22,101,000","21,989,000","21,392,000","-3,814,000","32,049,000","31,218,000","31,265,000","32,886,000","26,993,000","20,209,000","21,203,000","20,603,000","21,180,000","20,805,000","21,645,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"42,000,000","367,000,000","3,000,000","-15,000,000","-313,000,000","42,000,000","-136,000,000","-103,000,000","-1,085,000,000","-18,000,000","-38,000,000","-16,000,000","10,000,000","-91,000,000","31,000,000","-152,000,000","33,000,000","1,597,000","-34,484,000","-26,109,000","-44,953,000","-36,933,000","-38,020,000","-14,050,000","-59,972,000","-26,069,000","69,154,000","480,631,000","97,896,000","-13,162,000","6,284,000","-38,593,000","-4,020,000","-4,418,000","-18,161,000","1,242,000","-125,842,000","-118,023,000","-8,410,000","-4,660,000","-6,207,000","-2,069,000","7,296,000","-4,947,000","-7,317,000","-10,486,000","-13,657,000","817,000","568,000","-10,166,000","-18,530,000","-25,171,000","-15,665,000","-3,008,164,000","-23,243,000","-5,098,000","-3,673,000","6,904,000","-13,894,000","-6,122,000","-5,495,000","1,721,000","-44,074,000","10,466,000",,"-224,322,000","-16,047,000","869,000","1,034,000","-12,158,000","5,398,000"
	GainOnSaleOfSecurity,"-77,000,000","-28,000,000","-35,000,000","-11,000,000","-3,000,000","79,000,000","3,000,000","-10,000,000","-143,000,000","1,000,000","-27,000,000","-8,000,000","8,000,000","-9,000,000","-45,000,000","-89,000,000","35,000,000","1,068,000","-30,000,000","-6,000,000","-20,000,000","8,200,000","-5,725,000","1,116,000","-18,835,000","-442,000","26,158,000","-15,084,000","14,155,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,358,000","-1,093,000",,"1,234,000","-294,000","-2,259,000",,,,,,,,,,,
	SpecialIncomeCharges,"100,000,000","380,000,000","32,000,000","-5,000,000","-308,000,000","-39,000,000","-135,000,000","-91,000,000","-940,000,000","-17,000,000","-13,000,000","-8,000,000","-20,000,000","-82,000,000","78,000,000","-62,000,000","-3,000,000","-1,926,000","-2,484,000","-18,109,000","-22,953,000","-54,488,000","-28,970,000","-14,177,000","-31,777,000","-24,794,000","42,871,000","495,578,000","72,271,000","-25,543,000","-3,888,000","-31,416,000","-3,539,000","-3,241,000","-6,874,000","-6,246,000","-128,030,000","-97,748,000","-8,410,000","-4,660,000","-6,207,000","-2,069,000","7,296,000","-4,947,000","-7,317,000","-10,486,000","-13,657,000","817,000","568,000","-10,166,000","-18,530,000","-25,171,000","-15,665,000","-3,008,722,000","-24,601,000","-4,005,000","-3,673,000","5,670,000","-13,600,000","-3,863,000","-5,495,000","1,721,000","-44,074,000","10,466,000",,"-224,322,000","-16,047,000","869,000","1,034,000","-12,158,000","5,398,000"
		RestructuringAndMergernAcquisition,"55,000,000","1,000,000","12,000,000","13,000,000","29,000,000","25,000,000","78,000,000","53,000,000","75,000,000","8,000,000","2,000,000","4,000,000","10,000,000","0","0","0","0","1,148,000","3,983,000","9,708,000","1,899,000","9,633,000","6,638,000","9,833,000","29,803,000","22,870,000","71,679,000","5,646,000","4,676,000","25,630,000","0","0","0","0","0","0","66,472,000",,,,,,,,,"0","0","0",,,"13,781,000","6,098,000","8,718,000",,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"20,000,000","20,000,000","0","0","0","3,000,000","55,000,000","30,000,000","886,000,000","0","0","0",,"67,000,000","0","61,000,000",,"0","0",,,"32,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"281,000,000","0","10,000,000","-8,000,000","279,000,000","-2,000,000","2,000,000","8,000,000","-21,000,000","9,000,000","11,000,000","4,000,000","10,000,000","15,000,000","-78,000,000","1,000,000","3,000,000","2,456,000","-1,499,000","3,401,000","21,054,000","-2,152,000","22,332,000","4,344,000","1,974,000","1,924,000","-114,550,000","5,510,000","2,529,000","2,696,000","3,888,000","31,416,000","3,539,000","3,241,000","6,874,000","6,246,000","61,558,000","111,641,000",,,,,,,,"10,486,000","13,657,000","-817,000",,"38,763,000","4,749,000","19,073,000","6,947,000",,,,,,,,,,,,,,,,,,
