name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005
NetNonOperatingInterestIncomeExpense,"-1,663,000","-467,000","-413,000","-425,000","-358,000","-463,000","-1,383,000","-2,617,000","-1,272,000","439,000","900,000","1,671,000","2,046,000","1,275,000","1,318,000","1,143,000","1,325,000","359,000","316,000","555,000","338,000","116,000","211,000","248,000","315,000","273,000","283,000","276,000","311,000","231,000","254,000","209,000","200,000","69,000","7,000","18,000","24,000","-21,000","-39,000","-104,000","-21,000","-91,000","-176,000","-147,000","-173,000","-179,000","-244,000","-214,000","-118,000","-445,000","-441,000","-645,000","-671,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,"439,000","900,000","1,671,000","2,046,000","1,275,000","1,318,000","1,143,000","1,325,000","359,000","316,000","555,000","338,000","116,000","211,000","248,000","315,000","273,000","283,000","276,000","311,000","231,000","254,000","209,000","200,000","69,000","7,000","18,000","24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,,,,"21,000","39,000","104,000","21,000","91,000","176,000","147,000","173,000","179,000","244,000","214,000","118,000","445,000","441,000","645,000","671,000",,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"1,663,000","467,000","413,000","425,000","358,000","463,000","1,383,000","2,617,000","1,272,000","-439,000","-900,000","-1,671,000","-2,046,000","-1,275,000","-1,318,000","-1,143,000","-1,325,000","-359,000","-316,000","-555,000","-338,000","-116,000","-211,000","-248,000","-315,000","-273,000","-283,000","-276,000","-311,000","-231,000","-254,000","-209,000",,"-69,000","-7,000","-18,000","-24,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,"-30,398,000","-23,624,000","-40,758,000","-19,542,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0","0","0","0","0","-30,398,000","-23,624,000","-40,758,000","-19,542,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,"-26,538,000","23,624,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"0","0","0","0","0","32,105,000",,"40,758,000","19,542,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"0","0","0","0","0","30,398,000",,"40,758,000","19,542,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,295,829,000","375,155,000","283,826,000","331,882,000","304,966,000","223,809,000","99,894,000","10,138,000","-102,756,000","288,195,000","168,680,000","209,689,000","239,586,000","282,485,000","170,531,000","194,958,000","211,167,000","254,778,000","162,983,000","180,355,000","188,743,000","224,346,000","139,872,000","144,017,000","147,479,000","169,759,000","111,052,000","118,736,000","107,893,000","137,698,000","94,342,000","98,188,000","81,081,000","114,207,000","72,894,000","72,886,000","67,719,000","103,745,000","61,268,000","57,355,000","57,425,000","73,156,000","44,052,000","39,513,000","38,887,000","48,825,000","24,048,000","22,042,000","23,214,000","33,827,000","14,250,000","9,591,000","8,283,000","20,516,000","8,482,000","6,191,000","7,169,000","22,863,000","6,669,000","3,768,000","8,879,000",,,,,,,,
TaxProvision,"309,992,000","85,789,000","68,537,000","80,989,000","74,677,000","52,315,000","25,096,000","2,086,000","-24,247,000","65,476,000","38,933,000","48,431,000","47,365,000","67,811,000","39,365,000","46,635,000","46,771,000","46,605,000","58,338,000","66,162,000","60,520,000","84,128,000","52,310,000","54,013,000","55,503,000","61,936,000","39,982,000","44,567,000","40,947,000","50,434,000","35,218,000","37,394,000","31,128,000","43,525,000","27,464,000","27,975,000","25,893,000","39,213,000","23,117,000","22,357,000","22,557,000","26,861,000","17,284,000","15,608,000","15,591,000","18,721,000","9,845,000","8,980,000","9,553,000","13,601,000","5,790,000","3,841,000","3,363,000","8,228,000","3,465,000","2,503,000","2,894,000","9,259,000","2,463,000","1,562,000","3,560,000",,,,,,,,
NetIncomeCommonStockholders,"985,837,000","289,366,000","215,289,000","250,893,000","230,289,000","171,494,000","74,798,000","8,052,000","-78,509,000","222,719,000","129,747,000","161,258,000","192,221,000","214,674,000","131,166,000","148,323,000","164,396,000","208,173,000","104,645,000","114,193,000","128,223,000","140,218,000","87,562,000","90,004,000","91,976,000","107,823,000","71,070,000","74,169,000","66,946,000","87,264,000","59,124,000","60,794,000","49,953,000","70,682,000","45,430,000","44,911,000","41,826,000","64,532,000","38,151,000","34,998,000","34,868,000","46,295,000","26,768,000","23,905,000","23,296,000","30,104,000","14,203,000","13,062,000","13,661,000","20,226,000","8,460,000","5,750,000","4,920,000","12,288,000","5,017,000","3,688,000","4,275,000","13,604,000","608,000","-1,671,000","1,575,000","2,833,000","2,833,000","1,043,000","1,250,000","761,000","762,000","762,000","762,000"
	NetIncome,"985,837,000","289,366,000","215,289,000","250,893,000","230,289,000","171,494,000","74,798,000","8,052,000","-78,509,000","222,719,000","129,747,000","161,258,000","192,221,000","214,674,000","131,166,000","148,323,000","164,396,000","208,173,000","104,645,000","114,193,000","128,223,000","140,218,000","87,562,000","90,004,000","91,976,000","107,823,000","71,070,000","74,169,000","66,946,000","87,264,000","59,124,000","60,794,000","49,953,000","70,682,000","45,430,000","44,911,000","41,826,000","64,532,000","38,151,000","34,998,000","34,868,000","46,295,000","26,768,000","23,905,000","23,296,000","30,104,000","14,203,000","13,062,000","13,661,000","20,226,000","8,460,000","5,750,000","4,920,000","12,288,000","5,017,000","3,688,000","4,275,000","13,604,000","4,206,000","2,206,000","5,319,000","6,639,000","6,640,000","4,564,000","4,700,000","3,993,000","3,992,000","3,992,000","3,992,000"
		NetIncomeIncludingNoncontrollingInterests,"985,837,000","289,366,000","215,289,000","250,893,000","230,289,000","171,494,000","74,798,000","8,052,000","-78,509,000","222,719,000","129,747,000","161,258,000","192,221,000","214,674,000","131,166,000","148,323,000","164,396,000","208,173,000","104,645,000","114,193,000","128,223,000","140,218,000","87,562,000","90,004,000","91,976,000","107,823,000","71,070,000","74,169,000","66,946,000","87,264,000","59,124,000","60,794,000","49,953,000","70,682,000","45,430,000","44,911,000","41,826,000","64,532,000","38,151,000","34,998,000","34,868,000","46,295,000","26,768,000","23,905,000","23,296,000","30,104,000","14,203,000","13,062,000","13,661,000","20,226,000","8,460,000","5,750,000","4,920,000","12,288,000","5,017,000","3,688,000","4,275,000","13,604,000","4,206,000","2,206,000","5,319,000","6,639,000","6,640,000","4,564,000","4,700,000","3,993,000","3,992,000","3,992,000","3,992,000"
			NetIncomeContinuousOperations,"985,837,000","289,366,000","215,289,000","250,893,000","230,289,000","171,494,000","74,798,000","8,052,000","-78,509,000","222,719,000","129,747,000","161,258,000","192,221,000","214,674,000","131,166,000","148,323,000","164,396,000","208,173,000","104,645,000","114,193,000","128,223,000","140,218,000","87,562,000","90,004,000","91,976,000","107,823,000","71,070,000","74,169,000","66,946,000","87,264,000","59,124,000","60,794,000","49,953,000","70,682,000","45,430,000","44,911,000","41,826,000","64,532,000","38,151,000","34,998,000","34,868,000","46,295,000","26,768,000","23,905,000","23,296,000","30,104,000","14,203,000","13,062,000","13,661,000","20,226,000","8,460,000","5,750,000","4,920,000","12,288,000","5,017,000","3,688,000","4,275,000","13,604,000","4,206,000","2,206,000","5,319,000","6,639,000","6,640,000","4,564,000","4,700,000","3,993,000","3,992,000","3,992,000","3,992,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,598,000","3,877,000","3,744,000","3,806,000","3,807,000","3,521,000","3,450,000","3,232,000","3,230,000","3,230,000","3,230,000"
DilutedNIAvailtoComStockholders,"985,837,000","289,366,000","215,289,000","250,893,000","230,289,000","171,494,000","74,798,000","8,052,000","-78,509,000","222,719,000","129,747,000","161,258,000","192,221,000","214,674,000","131,166,000","148,323,000","164,396,000","208,173,000","104,645,000","114,193,000","128,223,000","140,218,000","87,562,000","90,004,000","91,976,000","107,823,000","71,070,000","74,169,000","66,946,000","87,264,000","59,124,000","60,794,000","49,953,000","70,682,000","45,430,000","44,911,000","41,826,000","64,532,000","38,151,000","34,998,000","34,868,000","46,295,000","26,768,000","23,905,000","23,296,000","30,104,000","14,203,000","13,062,000","13,661,000","20,226,000","8,460,000","5,750,000","4,920,000","12,288,000","5,017,000","3,688,000","4,275,000","13,604,000","608,000","-1,671,000","1,575,000","2,833,000","2,833,000","1,043,000","1,250,000","761,000","762,000","762,000","762,000"
BasicEPS,,"5.44","3.97","4.59","4.13","3.04","1.33","0.14","-1.39","3.91","2.25","2.77","3.28",,"2.2","2.47","2.71","3.42","1.71","1.84","2.06","2.25","1.4","1.44","1.46","1.69","1.11","1.16","1.04","1.36","0.92","0.94","0.78","1.1","0.71","0.7","0.66",,"0.6","0.55","0.56",,"0.44","0.39","0.38",,"0.24","0.22","0.23",,"0.15","0.1","0.09",,"0.09","0.06","0.08",,"0.06","-0.15","0.14",,"0.2","0.3","0.18",,"0.185","0.185","0.185"
DilutedEPS,,"5.41","3.94","4.56","4.1","3.03","1.32","0.14","-1.39","3.89","2.25","2.76","3.26",,"2.18","2.46","2.7","3.4","1.7","1.83","2.05","2.24","1.4","1.43","1.45","1.69","1.11","1.15","1.04","1.35","0.91","0.94","0.77","1.09","0.7","0.7","0.65",,"0.59","0.54","0.54",,"0.42","0.38","0.37",,"0.23","0.22","0.23",,"0.14","0.1","0.08",,"0.09","0.06","0.07",,"0.05","-0.15","0.07",,"0.05","0.13","0.06",,"0.083","0.083","0.083"
