name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
	DepreciationAmortizationDepletionIncomeStatement,"270,000,000","67,000,000","68,000,000","67,000,000","68,000,000","67,000,000","68,000,000","73,000,000","129,000,000","129,000,000","131,000,000","141,000,000","137,000,000","149,000,000","141,000,000","144,000,000","142,000,000","141,000,000","140,000,000","137,000,000","133,000,000","133,000,000","136,000,000","133,000,000","133,000,000"
		DepreciationAndAmortizationInIncomeStatement,"270,000,000","67,000,000","68,000,000","67,000,000","68,000,000","67,000,000","68,000,000","73,000,000","129,000,000","129,000,000","131,000,000","141,000,000","137,000,000","149,000,000","141,000,000","144,000,000","142,000,000","141,000,000","140,000,000","137,000,000","133,000,000","133,000,000","136,000,000","133,000,000","133,000,000"
			DepreciationIncomeStatement,,,,,,,,,,,,"141,000,000",,,,,,,,,,,,,
OperatingIncome,"830,000,000","212,000,000","214,000,000","208,000,000","196,000,000","295,000,000","88,000,000","172,000,000","420,000,000","406,000,000","445,000,000","416,000,000","386,000,000","312,000,000","343,000,000","339,000,000","340,000,000","295,000,000","290,000,000","307,000,000","318,000,000","151,000,000","240,000,000","297,000,000","286,000,000"
NetNonOperatingInterestIncomeExpense,"-257,000,000","-58,000,000","-62,000,000","-88,000,000","-72,000,000","-76,000,000","-76,000,000","-144,000,000","-87,000,000","-78,000,000","-81,000,000","-79,000,000","-75,000,000","-80,000,000","-82,000,000","-85,000,000","-114,000,000","-79,000,000","-100,000,000","-183,000,000","-115,000,000","-112,000,000","-126,000,000","-124,000,000","-121,000,000"
	InterestIncomeNonOperating,"2,000,000","0","1,000,000","1,000,000",,"0","1,000,000","0","4,000,000","4,000,000","5,000,000","6,000,000","10,000,000","7,000,000","6,000,000","4,000,000",,,,,,,,,
	InterestExpenseNonOperating,"259,000,000","58,000,000","63,000,000","89,000,000","72,000,000","76,000,000","77,000,000","144,000,000","91,000,000","82,000,000","86,000,000","85,000,000","85,000,000","87,000,000","88,000,000","89,000,000","114,000,000","98,000,000","100,000,000","183,000,000","115,000,000","128,000,000","126,000,000","124,000,000","121,000,000"
OtherIncomeExpense,"-249,000,000","-76,000,000","-129,000,000","-10,000,000","-11,000,000","-148,000,000","-24,000,000","-114,000,000","-42,000,000","-24,000,000","-155,000,000","-532,000,000","-54,000,000","-6,000,000","-12,000,000","-60,000,000","-27,000,000","-671,000,000","-18,000,000","145,000,000","281,000,000","-84,000,000","8,000,000","3,000,000","-4,000,000"
	GainOnSaleOfSecurity,"-2,000,000","-1,000,000","2,000,000","-1,000,000","-2,000,000","-1,000,000","5,000,000","7,000,000","-11,000,000","4,000,000","-7,000,000","4,000,000",,"-6,000,000","-6,000,000","-17,000,000",,,,,,,,,
	SpecialIncomeCharges,"-241,000,000","-71,000,000","-128,000,000","-8,000,000","-11,000,000","-84,000,000","-19,000,000","-43,000,000","-25,000,000","35,000,000","-121,000,000","-499,000,000","-14,000,000","21,000,000","0","-17,000,000","-7,000,000","-256,000,000","-19,000,000","-26,000,000","-73,000,000","-106,000,000","-3,000,000","-14,000,000","-16,000,000"
		RestructuringAndMergernAcquisition,"4,000,000","3,000,000",,"0","1,000,000","9,000,000","17,000,000","46,000,000","22,000,000","-537,000,000","119,000,000","27,000,000","12,000,000","-19,000,000","-2,000,000","15,000,000","7,000,000","-65,000,000","19,000,000","26,000,000","73,000,000","12,000,000","3,000,000","14,000,000","16,000,000"
		ImpairmentOfCapitalAssets,"15,000,000","7,000,000","4,000,000","4,000,000",,,,,,,,"444,000,000",,"0",,,,"719,000,000",,,,"0",,,
		WriteOff,,,,,,,,"-7,000,000","12,000,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,"221,000,000","71,000,000","121,000,000","3,000,000","3,000,000",,"3,000,000","2,000,000","6,000,000",,,"14,000,000",,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,"-4,000,000",,,,"15,000,000",,,"-12,000,000",,,,,,,,,,,,,
		GainOnSaleOfPPE,"-1,000,000","6,000,000","-3,000,000","-1,000,000","-3,000,000","-10,000,000","-2,000,000","-2,000,000","0","19,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-2,000,000","-2,000,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-6,000,000","-4,000,000","-3,000,000","-1,000,000","2,000,000","-63,000,000","-10,000,000","-78,000,000","-6,000,000","-63,000,000","-27,000,000","-37,000,000","-40,000,000","-21,000,000","-6,000,000","-26,000,000","-20,000,000","-420,000,000","1,000,000","171,000,000","354,000,000","12,000,000","11,000,000","17,000,000","12,000,000"
PretaxIncome,"324,000,000","78,000,000","23,000,000","110,000,000","113,000,000","71,000,000","-12,000,000","-86,000,000","291,000,000","304,000,000","209,000,000","-195,000,000","257,000,000","226,000,000","249,000,000","194,000,000","199,000,000","-455,000,000","172,000,000","269,000,000","484,000,000","-45,000,000","122,000,000","176,000,000","161,000,000"
TaxProvision,"66,000,000","1,000,000","-4,000,000","36,000,000","33,000,000","-35,000,000","-48,000,000","-2,000,000","76,000,000","-5,000,000","114,000,000","-74,000,000","70,000,000","8,000,000","88,000,000","74,000,000","56,000,000","272,000,000","53,000,000","57,000,000","162,000,000","1,246,000,000","56,000,000","123,000,000","51,000,000"
NetIncomeCommonStockholders,"256,000,000","77,000,000","26,000,000","73,000,000","79,000,000","106,000,000","35,000,000","-96,000,000","214,000,000","309,000,000","94,000,000","-121,000,000","186,000,000","218,000,000","160,000,000","120,000,000","142,000,000","-727,000,000","101,000,000","194,000,000","305,000,000","-1,275,000,000","148,000,000","118,000,000","-2,000,000"
	NetIncome,"258,000,000","77,000,000","27,000,000","74,000,000","80,000,000","106,000,000","36,000,000","-96,000,000","215,000,000","309,000,000","95,000,000","-121,000,000","187,000,000","218,000,000","161,000,000","120,000,000","143,000,000","-727,000,000","119,000,000","212,000,000","322,000,000","-1,258,000,000","166,000,000","135,000,000","16,000,000"
		NetIncomeIncludingNoncontrollingInterests,"258,000,000","77,000,000","27,000,000","74,000,000","80,000,000","106,000,000","36,000,000","-96,000,000","215,000,000","309,000,000","95,000,000","-121,000,000","187,000,000","218,000,000","161,000,000","120,000,000","143,000,000","-727,000,000","119,000,000","212,000,000","322,000,000","-1,253,000,000","186,000,000","178,000,000","11,000,000"
			NetIncomeContinuousOperations,"258,000,000","77,000,000","27,000,000","74,000,000","80,000,000","106,000,000","36,000,000","-84,000,000","215,000,000","309,000,000","95,000,000","-121,000,000","187,000,000","218,000,000","161,000,000","120,000,000","143,000,000","-727,000,000","119,000,000","212,000,000","322,000,000","-1,291,000,000","66,000,000","53,000,000","110,000,000"
			NetIncomeDiscontinuousOperations,"0","0","0","0","0","0","0","-12,000,000",,,,,,,,,,"0","0","0","0","38,000,000","120,000,000","125,000,000","-99,000,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,"0","0","0","0","-5,000,000","-20,000,000","-43,000,000","5,000,000"
	PreferredStockDividends,"2,000,000","0","1,000,000","1,000,000","1,000,000","0","1,000,000",,"1,000,000","0","1,000,000",,"1,000,000","0","1,000,000",,"1,000,000","0","18,000,000","18,000,000","17,000,000","17,000,000","18,000,000","17,000,000","18,000,000"
AverageDilutionEarnings,"0",,,,,,"0","0","0",,"3,000,000","0","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","-57,000,000","2,000,000","2,000,000","19,000,000","0","2,000,000","2,000,000","0"
DilutedNIAvailtoComStockholders,"256,000,000","77,000,000","26,000,000","73,000,000","79,000,000","106,000,000","35,000,000","-96,000,000","214,000,000","318,000,000","97,000,000","-121,000,000","190,000,000","221,000,000","163,000,000","123,000,000","145,000,000","-784,000,000","103,000,000","196,000,000","324,000,000","-1,275,000,000","150,000,000","120,000,000","-2,000,000"
BasicEPS,,"0.18","0.06","0.17","0.18",,"0.08","-0.22","0.49","0.71","0.22","-0.27","0.4","0.45","0.33","0.25","0.3","-1.51","0.23","0.44","0.69","-2.88","0.34","0.269","-0.005"
DilutedEPS,,"0.18","0.06","0.17","0.18",,"0.08","-0.22","0.49","0.7","0.21","-0.27","0.39","0.44","0.32","0.24","0.29","-1.51","0.22","0.43","0.65","-2.88","0.33","0.265","-0.005"
BasicAverageShares,,"425,660,650","429,000,000","431,593,607","434,000,000",,"433,598,864","436,110,495","435,015,454","432,802,445","436,000,000","445,000,000","470,798,121","483,239,287","483,181,619","482,891,826","482,438,854","481,339,090","441,512,709","440,865,477","439,933,090","438,486,935","438,000,000","438,000,000","438,000,000"
DilutedAverageShares,,"431,460,887","434,000,000","436,992,917","439,000,000",,"433,598,864","436,110,495","440,396,706","441,941,647","457,000,000","445,000,000","489,059,798","503,018,904","483,181,619","482,891,826","502,924,068","481,339,090","462,055,864","461,826,510","499,453,809","438,486,935","453,000,000","453,000,000","453,000,000"
TotalOperatingIncomeAsReported,"748,000,000","147,000,000","205,000,000","207,000,000","189,000,000","221,000,000","73,000,000","74,000,000","399,000,000","416,000,000","326,000,000","-81,000,000","374,000,000","323,000,000","345,000,000","324,000,000","333,000,000","-471,000,000","271,000,000","281,000,000",,,"237,000,000","283,000,000",
TotalExpenses,"4,142,000,000","1,073,000,000","1,069,000,000","987,000,000","1,013,000,000","943,000,000","1,046,000,000","1,081,000,000","2,789,000,000","2,995,000,000","3,114,000,000","3,275,000,000","3,155,000,000","3,160,000,000","3,181,000,000","3,234,000,000","3,105,000,000","2,976,000,000","2,946,000,000","2,954,000,000","2,874,000,000","2,816,000,000","2,898,000,000","2,937,000,000","2,769,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"258,000,000","77,000,000","27,000,000","74,000,000","80,000,000","106,000,000","36,000,000","-96,000,000","215,000,000","309,000,000","95,000,000","-121,000,000","187,000,000","218,000,000","161,000,000","120,000,000","143,000,000","-727,000,000","119,000,000","212,000,000","322,000,000","-1,258,000,000","166,000,000","135,000,000","16,000,000"
NormalizedIncome,"451,428,000","148,076,923.077","118,980,000","80,057,000","89,204,000","168,050,000","46,220,000","-48,828,000","241,604,000","280,530,000","188,440,000","186,395,000","197,192,000","203,530,973.451","164,882,000","141,046,000","148,145,000","-576,400,000","132,145,348.837","232,490,706.32","370,545,000","-1,234,200,000","47,800,000","18,400,000","125,928,000"
InterestIncome,"2,000,000","0","1,000,000","1,000,000",,"0","1,000,000","0","4,000,000","4,000,000","5,000,000","6,000,000","10,000,000","7,000,000","6,000,000","4,000,000",,,,,,,,,
InterestExpense,"259,000,000","58,000,000","63,000,000","89,000,000","72,000,000","76,000,000","77,000,000","144,000,000","91,000,000","82,000,000","86,000,000","85,000,000","85,000,000","87,000,000","88,000,000","89,000,000","114,000,000","98,000,000","100,000,000","183,000,000","115,000,000","128,000,000","126,000,000","124,000,000","121,000,000"
NetInterestIncome,"-257,000,000","-58,000,000","-62,000,000","-88,000,000","-72,000,000","-76,000,000","-76,000,000","-144,000,000","-87,000,000","-78,000,000","-81,000,000","-79,000,000","-75,000,000","-80,000,000","-82,000,000","-85,000,000","-114,000,000","-79,000,000","-100,000,000","-183,000,000","-115,000,000","-112,000,000","-126,000,000","-124,000,000","-121,000,000"
EBIT,"583,000,000","136,000,000","86,000,000","199,000,000","185,000,000","147,000,000","65,000,000","58,000,000","382,000,000","386,000,000","295,000,000","-110,000,000","342,000,000","313,000,000","337,000,000","283,000,000","313,000,000","-357,000,000","272,000,000","452,000,000","599,000,000","83,000,000","248,000,000","300,000,000","282,000,000"
EBITDA,"853,000,000"
ReconciledCostOfRevenue,"3,596,000,000","938,000,000","928,000,000","857,000,000","873,000,000","872,000,000","900,000,000","922,000,000","2,476,000,000","2,670,000,000","2,800,000,000","2,941,000,000","2,818,000,000","2,845,000,000","2,881,000,000","2,903,000,000","2,768,000,000","2,656,000,000","2,626,000,000","2,583,000,000","2,492,000,000","2,314,000,000","2,323,000,000","2,353,000,000","2,224,000,000"
ReconciledDepreciation,"270,000,000","67,000,000","68,000,000","67,000,000","68,000,000","67,000,000","68,000,000","74,000,000","129,000,000","129,000,000","131,000,000","139,000,000","137,000,000","149,000,000","141,000,000","144,000,000","142,000,000","141,000,000","140,000,000","137,000,000","133,000,000","194,000,000","316,000,000","313,000,000","309,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"258,000,000","77,000,000","27,000,000","74,000,000","80,000,000","106,000,000","36,000,000","-84,000,000","215,000,000","309,000,000","95,000,000","-121,000,000","187,000,000","218,000,000","161,000,000","120,000,000","143,000,000","-727,000,000","119,000,000","212,000,000","322,000,000","-1,296,000,000","46,000,000","10,000,000","115,000,000"
TotalUnusualItemsExcludingGoodwill,"-243,000,000","-72,000,000","-126,000,000","-9,000,000","-13,000,000","-85,000,000","-14,000,000","-36,000,000","-36,000,000","39,000,000","-128,000,000","-495,000,000","-14,000,000","15,000,000","-6,000,000","-34,000,000","-7,000,000","-251,000,000","-19,000,000","-26,000,000","-73,000,000","-103,000,000","-3,000,000","-14,000,000","-16,000,000"
TotalUnusualItems,"-243,000,000","-72,000,000","-126,000,000","-9,000,000","-13,000,000","-85,000,000","-14,000,000","-36,000,000","-36,000,000","39,000,000","-128,000,000","-495,000,000","-14,000,000","15,000,000","-6,000,000","-34,000,000","-7,000,000","-251,000,000","-19,000,000","-26,000,000","-73,000,000","-103,000,000","-3,000,000","-14,000,000","-16,000,000"
NormalizedEBITDA,"1,096,000,000","275,000,000","280,000,000","275,000,000","266,000,000","299,000,000","147,000,000","168,000,000","547,000,000","476,000,000","554,000,000","526,000,000","493,000,000","447,000,000","484,000,000","461,000,000","462,000,000","35,000,000","431,000,000","615,000,000","805,000,000","380,000,000","567,000,000","627,000,000","607,000,000"
TaxRateForCalcs,"0.204","0.013","0.27","0.327","0.292","0.27","0.27","0.023","0.261","0.27","0.27","0.379","0.272","0.035","0.353","0.381","0.265","0.4","0.308","0.212","0.335","0.4","0.4","0.4","0.317"
TaxEffectOfUnusualItems,"-49,572,000","-923,076.923","-34,020,000","-2,943,000","-3,796,000","-22,950,000","-3,780,000","-828,000","-9,396,000","10,530,000","-34,560,000","-187,605,000","-3,808,000","530,973.451","-2,118,000","-12,954,000","-1,855,000","-100,400,000","-5,854,651.163","-5,509,293.68","-24,455,000","-41,200,000","-1,200,000","-5,600,000","-5,072,000"
