name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
	NetIncome,"966,000,000","318,000,000","261,000,000","175,000,000","212,000,000","119,000,000","101,000,000","-23,000,000","82,000,000","16,000,000","57,000,000","60,000,000","58,000,000","69,000,000","60,000,000","61,000,000","69,000,000","1,076,000,000","84,000,000","75,000,000","74,000,000","-177,594,000","99,167,000","86,759,000","106,668,000","104,570,000","111,286,000","84,951,000","86,398,000","88,426,000","92,654,000","85,120,000","90,183,000","72,996,000","66,769,000","38,517,000","48,309,000","34,974,000","52,098,000","47,201,000","43,273,000"
		NetIncomeIncludingNoncontrollingInterests,"971,000,000","318,000,000","261,000,000","175,000,000","217,000,000","130,000,000","108,000,000","-21,000,000","91,000,000","20,000,000","69,000,000","71,000,000","67,000,000","76,000,000","67,000,000","68,000,000","73,000,000","1,084,000,000","89,000,000","79,000,000","76,000,000","-174,298,000","103,974,000","91,298,000","109,026,000","108,087,000","108,839,000","84,947,000","86,431,000","88,444,000","92,733,000","85,110,000","90,214,000","72,934,000","66,584,000","38,353,000","48,156,000","34,836,000","51,975,000","47,012,000","42,808,000"
			NetIncomeContinuousOperations,"971,000,000","318,000,000","261,000,000","175,000,000","217,000,000","130,000,000","108,000,000","-21,000,000","91,000,000","20,000,000","69,000,000","71,000,000","67,000,000","76,000,000","67,000,000","68,000,000","73,000,000","1,084,000,000","89,000,000","79,000,000","76,000,000","-174,298,000","103,974,000","91,298,000","109,026,000","108,087,000","108,839,000","84,947,000","86,431,000","88,444,000","92,733,000","85,110,000","90,214,000","72,934,000","66,584,000","38,353,000","48,156,000","34,836,000","51,975,000","47,012,000","42,808,000"
		MinorityInterests,"-5,000,000","0","0","0","-5,000,000","-11,000,000","-7,000,000","-2,000,000","-9,000,000","-4,000,000","-12,000,000","-11,000,000","-9,000,000","-7,000,000","-7,000,000","-7,000,000","-4,000,000","-8,000,000","-5,000,000","-4,000,000","-2,000,000","-3,296,000","-4,807,000","-4,539,000","-2,358,000","-3,517,000","2,447,000","4,000","-33,000","-18,000","-79,000","10,000","-31,000","62,000","185,000","164,000","153,000","138,000","123,000","189,000","465,000"
DilutedNIAvailtoComStockholders,"966,000,000","318,000,000","261,000,000","175,000,000","212,000,000","119,000,000","101,000,000","-23,000,000","82,000,000","16,000,000","57,000,000","60,000,000","58,000,000","69,000,000","60,000,000","61,000,000","69,000,000","1,076,000,000","84,000,000","75,000,000","74,000,000","-177,594,000","99,167,000","86,759,000","106,668,000","104,570,000","111,286,000","84,951,000","86,398,000","88,426,000","92,654,000","85,120,000","90,183,000","72,996,000","66,769,000","38,517,000","48,309,000","34,974,000","52,098,000","47,201,000","43,273,000"
BasicEPS,,"1.67","1.36","0.91","1.11",,"0.53","-0.12","0.43","0.09","0.29","0.31","0.29","0.34","0.3","0.3","0.33","5.14","0.39","0.35","0.32","-0.74","0.83","0.73","0.89","0.86","0.91","0.69","0.69","0.7","0.73","0.66","0.69",,"0.52","0.31","0.375",,"0.415","0.376","0.345"
DilutedEPS,,"1.63","1.34","0.9","1.09",,"0.52","-0.12","0.42","0.09","0.29","0.3","0.29","0.34","0.29","0.29","0.32","5.02","0.38","0.34","0.31","-0.74","0.82","0.71","0.88","0.85","0.89","0.67","0.68","0.69","0.71","0.64","0.68",,"0.5","0.3","0.375",,"0.408","0.37","0.339"
BasicAverageShares,,"190,800,000","191,500,000","191,600,000","191,500,000",,"191,300,000","190,900,000","191,600,000","192,600,000","194,500,000","196,200,000","197,000,000","199,500,000","202,300,000","205,700,000","207,500,000","209,300,000","214,300,000","217,600,000","230,100,000","238,800,000","118,919,000","119,464,000","119,448,000","120,966,000","122,848,000","123,834,000","124,504,000","125,638,000","127,462,000","128,979,000","129,898,000",,"128,923,000","122,709,000","128,915,390",,"125,468,000","125,468,000","125,468,000"
DilutedAverageShares,,"194,800,000","195,300,000","194,900,000","194,900,000",,"194,900,000","190,900,000","195,700,000","197,100,000","199,000,000","200,600,000","201,700,000","204,100,000","206,800,000","209,900,000","212,000,000","214,200,000","219,000,000","222,300,000","234,900,000","238,800,000","121,156,000","121,519,000","121,438,000","123,192,000","125,339,000","126,536,000","127,454,000","128,626,000","130,626,000","132,042,000","133,040,000",,"133,267,000","126,578,000","128,915,390",,"127,554,000","127,554,000","127,554,000"
TotalOperatingIncomeAsReported,"1,393,000,000","463,000,000","302,000,000","286,000,000","342,000,000","289,000,000","187,000,000","62,000,000","193,000,000","166,000,000","204,000,000","197,000,000","210,000,000","207,000,000","181,000,000","170,000,000","183,000,000","203,000,000","197,000,000","151,000,000","168,000,000","144,691,000","167,770,000","150,743,000","178,796,000","177,983,000","167,023,000","158,389,000","143,217,000","158,932,000","149,142,000","141,000,000","141,316,000","127,012,000","125,259,000","94,897,000","115,165,000","94,427,000","109,136,000","100,885,000","91,987,000"
TotalExpenses,"12,461,000,000","3,168,000,000","3,087,000,000","3,148,000,000","3,058,000,000","3,007,000,000","2,579,000,000","2,443,000,000","2,547,000,000","2,699,000,000","2,546,000,000","2,529,000,000","2,462,000,000","2,479,000,000","2,390,000,000","2,380,000,000","2,354,000,000","2,349,000,000","2,258,000,000","2,175,000,000","2,135,000,000","2,075,795,000","1,298,186,000","1,376,816,000","1,308,145,000","1,334,053,000","1,245,762,000","1,278,904,000","1,199,052,000","1,246,917,000","1,249,099,000","1,199,082,000","1,165,522,000","1,249,999,000","1,063,379,000","1,197,946,000","1,111,817,000","1,176,939,000","1,090,872,000","1,117,619,000","1,064,907,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"966,000,000","318,000,000","261,000,000","175,000,000","212,000,000","119,000,000","101,000,000","-23,000,000","82,000,000","16,000,000","57,000,000","60,000,000","58,000,000","69,000,000","60,000,000","61,000,000","69,000,000","1,076,000,000","84,000,000","75,000,000","74,000,000","-177,594,000","99,167,000","86,759,000","106,668,000","104,570,000","111,286,000","84,951,000","86,398,000","88,426,000","92,654,000","85,120,000","90,183,000","72,996,000","66,769,000","38,517,000","48,309,000","34,974,000","52,098,000","47,201,000","43,273,000"
NormalizedIncome,"1,005,330,000","323,058,510.638","263,868,000","178,136,000","239,357,000","121,025,773.196","115,600,000","-600,000","93,662,000","37,900,000","88,390,000","72,558,000","65,488,000","70,423,076.923","76,790,000","74,813,000","89,176,000","1,089,800,000","111,860,000","104,400,000","93,030,000","-88,444,200","121,924,193","104,866,194","108,912,816","111,150,059.813","119,914,480","95,097,136","90,140,772","92,126,949.657","93,889,377","85,798,768","90,883,560","76,953,413.966","71,874,509","54,234,180","49,439,272","40,383,944.341","51,792,898","54,914,427","43,077,700"
InterestIncome,"6,000,000","2,000,000","2,000,000","1,000,000","1,000,000","2,000,000","1,000,000","1,000,000","2,000,000","2,000,000","3,000,000","2,000,000","2,000,000","3,000,000","2,000,000","1,000,000","2,000,000","2,000,000","2,000,000","1,000,000","2,000,000","1,830,000","706,000","834,000","630,000","847,000","1,141,000","1,459,000","870,000","559,000","602,000","994,000","1,255,000","1,581,000","1,119,000","785,000","452,000","1,472,000","848,000","322,000","425,000"
InterestExpense,"375,000,000","90,000,000","92,000,000","94,000,000","99,000,000","102,000,000","100,000,000","108,000,000","106,000,000","109,000,000","114,000,000","114,000,000","110,000,000","106,000,000","105,000,000","107,000,000","96,000,000","97,000,000","93,000,000","81,000,000","75,000,000","71,053,000","24,505,000","22,483,000","25,959,000","25,536,000","25,429,000","25,487,000","25,340,000","26,037,000","25,050,000","24,799,000","24,703,000","26,826,000","28,756,000","31,884,000","36,042,000","38,383,000","33,513,000","33,130,000","29,345,000"
NetInterestIncome,"-369,000,000","-88,000,000","-90,000,000","-93,000,000","-98,000,000","-100,000,000","-99,000,000","-107,000,000","-104,000,000","-107,000,000","-111,000,000","-112,000,000","-108,000,000","-103,000,000","-103,000,000","-106,000,000","-94,000,000","-95,000,000","-91,000,000","-80,000,000","-73,000,000","-69,223,000","-23,799,000","-21,649,000","-25,329,000","-24,689,000","-24,288,000","-24,028,000","-24,470,000","-25,478,000","-24,448,000","-23,805,000","-23,448,000","-25,245,000","-27,637,000","-31,099,000","-35,590,000","-36,911,000","-32,665,000","-32,808,000","-28,920,000"
EBIT,"1,503,000,000","466,000,000","365,000,000","316,000,000","356,000,000","296,000,000","202,000,000","83,000,000","208,000,000","205,000,000","183,000,000","192,000,000","219,000,000","210,000,000","156,000,000","195,000,000","181,000,000","186,000,000","178,000,000","149,000,000","164,000,000","126,891,000","166,809,000","154,380,000","174,920,000","184,332,000","169,098,000","140,409,000","146,948,000","158,905,000","157,520,000","138,938,000","147,415,000","126,868,000","123,154,000","78,603,000","117,999,000","93,468,000","106,134,000","107,366,000","94,831,000"
EBITDA,"2,767,000,000"
ReconciledCostOfRevenue,"9,233,000,000","2,364,000,000","2,253,000,000","2,323,000,000","2,293,000,000","2,172,000,000","1,800,000,000","1,704,000,000","1,824,000,000","1,901,000,000","1,852,000,000","1,799,000,000","1,748,000,000","1,742,000,000","1,678,000,000","1,674,000,000","1,652,000,000","1,607,000,000","1,611,000,000","1,560,000,000","1,523,000,000","1,476,582,000","1,064,541,000","1,126,248,000","1,082,629,000","1,089,987,000","1,014,347,000","1,053,006,000","979,446,000","1,021,862,000","1,030,072,000","980,068,000","946,280,000","1,017,202,000","863,806,000","969,108,000","912,515,000","961,303,000","898,092,000","914,075,000","859,112,000"
ReconciledDepreciation,"1,264,000,000","262,000,000","336,000,000","343,000,000","323,000,000","344,000,000","319,000,000","308,000,000","316,000,000","314,000,000","299,000,000","294,000,000","295,000,000","294,000,000","283,000,000","282,000,000","282,000,000","278,000,000","256,000,000","245,000,000","232,000,000","190,632,000","34,603,000","32,041,000","31,724,000","34,518,000","32,884,000","30,011,000","30,329,000","31,900,000","30,180,000","29,845,000","29,088,000","30,554,000","27,324,000","24,986,000","24,640,000","25,571,000","25,727,000","23,719,000","23,271,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"966,000,000","318,000,000","261,000,000","175,000,000","212,000,000","119,000,000","101,000,000","-23,000,000","82,000,000","16,000,000","57,000,000","60,000,000","58,000,000","69,000,000","60,000,000","61,000,000","69,000,000","1,076,000,000","84,000,000","75,000,000","74,000,000","-177,594,000","99,167,000","86,759,000","106,668,000","104,570,000","111,286,000","84,951,000","86,398,000","88,426,000","92,654,000","85,120,000","90,183,000","72,996,000","66,769,000","38,517,000","48,309,000","34,974,000","52,098,000","47,201,000","43,273,000"
TotalUnusualItemsExcludingGoodwill,"-46,000,000","-6,000,000","-3,000,000","-4,000,000","-33,000,000","-3,000,000","-20,000,000","-28,000,000","-14,000,000","-30,000,000","-43,000,000","-14,000,000","-12,000,000","-2,000,000","-23,000,000","-19,000,000","-26,000,000","-23,000,000","-28,000,000","-49,000,000","-22,000,000","-148,583,000","-31,217,000","-25,114,000","-3,144,000","-9,694,000","-11,984,000","-14,014,000","-5,324,000","-5,239,000","-1,793,000","-948,000","-1,008,000","-5,462,000","-7,201,000","-19,380,000","-1,859,000","-8,497,000","434,000","-12,263,000","310,000"
TotalUnusualItems,"-46,000,000","-6,000,000","-3,000,000","-4,000,000","-33,000,000","-3,000,000","-20,000,000","-28,000,000","-14,000,000","-30,000,000","-43,000,000","-14,000,000","-12,000,000","-2,000,000","-23,000,000","-19,000,000","-26,000,000","-23,000,000","-28,000,000","-49,000,000","-22,000,000","-148,583,000","-31,217,000","-25,114,000","-3,144,000","-9,694,000","-11,984,000","-14,014,000","-5,324,000","-5,239,000","-1,793,000","-948,000","-1,008,000","-5,462,000","-7,201,000","-19,380,000","-1,859,000","-8,497,000","434,000","-12,263,000","310,000"
NormalizedEBITDA,"2,813,000,000","734,000,000","704,000,000","663,000,000","712,000,000","643,000,000","541,000,000","419,000,000","538,000,000","549,000,000","525,000,000","500,000,000","526,000,000","506,000,000","462,000,000","496,000,000","489,000,000","487,000,000","462,000,000","443,000,000","418,000,000","466,106,000","232,629,000","211,535,000","209,788,000","228,544,000","213,966,000","184,434,000","182,601,000","196,044,000","189,493,000","169,731,000","177,511,000","162,884,000","157,679,000","122,969,000","144,498,000","127,536,000","131,427,000","143,348,000","117,792,000"
TaxRateForCalcs,"0.145","0.157","0.044","0.216","0.171","0.325","0.27","0.2","0.167","0.27","0.27","0.103","0.376","0.288","0.27","0.273","0.224","0.4","0.005","0.4","0.135","0.4","0.271","0.279","0.286","0.321","0.28","0.276","0.297","0.294","0.311","0.284","0.305","0.275","0.291","0.189","0.392","0.363","0.297","0.371","0.37"
TaxEffectOfUnusualItems,"-6,670,000","-941,489.362","-132,000","-864,000","-5,643,000","-974,226.804","-5,400,000","-5,600,000","-2,338,000","-8,100,000","-11,610,000","-1,442,000","-4,512,000","-576,923.077","-6,210,000","-5,187,000","-5,824,000","-9,200,000","-140,000","-19,600,000","-2,970,000","-59,433,200","-8,459,807","-7,006,806","-899,184","-3,113,940.187","-3,355,520","-3,867,864","-1,581,228","-1,538,050.343","-557,623","-269,232","-307,440","-1,504,586.034","-2,095,491","-3,662,820","-728,728","-3,087,055.659","128,898","-4,549,573","114,700"
