name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
	DepreciationAmortizationDepletionIncomeStatement,"722,000,000","179,000,000","180,000,000","180,000,000","183,000,000","181,000,000","162,000,000","176,000,000","163,000,000","161,000,000","100,000,000","113,000,000","320,000,000","107,000,000","88,000,000","107,000,000","315,000,000"
		DepreciationAndAmortizationInIncomeStatement,"722,000,000","179,000,000","180,000,000","180,000,000","183,000,000","181,000,000","162,000,000","176,000,000","163,000,000","161,000,000","100,000,000","113,000,000","320,000,000","107,000,000","88,000,000","107,000,000","315,000,000"
			Amortization,"722,000,000","179,000,000","180,000,000","180,000,000","183,000,000","181,000,000","162,000,000","176,000,000","163,000,000","161,000,000","100,000,000","113,000,000","320,000,000","107,000,000","88,000,000","107,000,000","315,000,000"
				AmortizationOfIntangiblesIncomeStatement,"722,000,000","179,000,000","180,000,000","180,000,000","183,000,000","181,000,000","162,000,000","176,000,000","163,000,000","161,000,000","100,000,000","113,000,000","320,000,000","107,000,000","88,000,000","107,000,000","315,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,"-157,000,000",,,,"-47,000,000"
OperatingIncome,"1,317,000,000","-54,000,000","-336,000,000","1,146,000,000","561,000,000","-115,000,000","-477,000,000","948,000,000","487,000,000","-183,000,000","-473,000,000","1,190,000,000","565,000,000","1,383,000,000","-584,000,000","618,000,000","243,000,000"
NetNonOperatingInterestIncomeExpense,"47,000,000","11,000,000","11,000,000","11,000,000","14,000,000","46,000,000","-11,000,000","-5,000,000","8,000,000","-11,000,000","-6,000,000","-17,000,000","-56,000,000","112,000,000","-70,000,000","-64,000,000","-80,000,000"
	InterestIncomeNonOperating,"77,000,000","19,000,000","19,000,000","18,000,000","21,000,000",,,"9,000,000","18,000,000","13,000,000","13,000,000","17,000,000",,,"12,000,000","24,000,000",
	InterestExpenseNonOperating,"30,000,000","8,000,000","8,000,000","7,000,000","7,000,000","10,000,000","11,000,000","14,000,000","10,000,000","24,000,000","19,000,000","34,000,000","56,000,000","-175,000,000","82,000,000","88,000,000","80,000,000"
OtherIncomeExpense,"982,000,000","288,000,000","333,000,000","145,000,000","216,000,000","-1,000,000","-19,000,000","-99,000,000","-87,000,000","7,000,000","-152,000,000","-420,000,000","-460,000,000","-157,000,000","-4,996,000,000","-246,000,000","-352,000,000"
	GainOnSaleOfSecurity,"-54,000,000","-7,000,000","2,000,000","-14,000,000","-35,000,000",,,"1,000,000","-61,000,000","-29,000,000","-11,000,000","-32,000,000",,,"-74,000,000","-1,000,000",
	EarningsFromEquityInterest,"14,000,000","10,000,000","-1,000,000","2,000,000","3,000,000",,,"-2,000,000","-1,000,000","-1,000,000","-3,000,000","-5,000,000",,,"-3,000,000","2,000,000",
