name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalRevenue,"117,929,000,000","33,671,000,000","29,010,000,000","29,077,000,000","26,171,000,000","28,072,000,000","21,470,000,000","18,687,000,000","17,737,000,000","21,082,000,000","17,652,000,000","16,886,000,000","15,077,000,000","16,914,000,000","13,727,000,000","13,231,000,000","11,966,000,000","12,972,000,000","10,328,000,000","9,321,000,000","8,032,000,000","8,809,000,000","7,011,000,000","6,436,000,000","5,382,000,000","5,841,000,000","4,501,000,000","4,042,000,000","3,543,000,000","3,851,000,000","3,203,000,000","2,910,000,000","2,502,000,000","2,586,000,000","2,016,000,000","1,813,000,000","1,458,000,000","1,585,000,000","1,262,000,000","1,184,000,000","1,058,000,000","1,131,000,000","954,000,000","895,000,000","731,000,000"
	OperatingRevenue,"117,929,000,000","35,635,000,000","28,276,000,000","28,580,000,000","25,439,000,000","27,188,000,000","21,221,000,000","18,321,000,000","17,440,000,000","20,736,000,000","17,383,000,000","16,624,000,000","14,912,000,000","16,640,000,000","13,539,000,000","13,038,000,000","11,795,000,000","12,779,000,000","10,142,000,000","9,164,000,000","7,857,000,000","8,629,000,000","6,816,000,000","6,239,000,000","5,201,000,000","5,637,000,000","4,299,000,000","3,827,000,000","3,317,000,000","3,594,000,000","2,957,000,000","2,676,000,000","2,265,000,000","2,345,000,000","1,798,000,000","1,599,000,000","1,245,000,000","775,000,000","1,262,000,000","1,184,000,000","1,058,000,000","1,131,000,000","954,000,000","895,000,000","731,000,000"
CostOfRevenue,"22,649,000,000","6,348,000,000","5,771,000,000","5,399,000,000","5,131,000,000","5,210,000,000","4,194,000,000","3,829,000,000","3,459,000,000","3,491,000,000","3,155,000,000","3,307,000,000","2,816,000,000","2,796,000,000","2,418,000,000","2,214,000,000","1,927,000,000","1,611,000,000","1,448,000,000","1,237,000,000","1,159,000,000","1,048,000,000","987,000,000","916,000,000","838,000,000","824,000,000","720,000,000","668,000,000","654,000,000","652,000,000","565,000,000","473,000,000","462,000,000","491,000,000","507,000,000","465,000,000","413,000,000","397,000,000","322,000,000","367,000,000","277,000,000","247,000,000","236,000,000","210,000,000","167,000,000"
GrossProfit,"95,280,000,000","27,323,000,000","23,239,000,000","23,678,000,000","21,040,000,000","22,862,000,000","17,276,000,000","14,858,000,000","14,278,000,000","17,591,000,000","14,497,000,000","13,579,000,000","12,261,000,000","14,118,000,000","11,309,000,000","11,017,000,000","10,039,000,000","11,361,000,000","8,880,000,000","8,084,000,000","6,873,000,000","7,761,000,000","6,024,000,000","5,520,000,000","4,544,000,000","5,017,000,000","3,781,000,000","3,374,000,000","2,889,000,000","3,199,000,000","2,638,000,000","2,437,000,000","2,040,000,000","2,095,000,000","1,509,000,000","1,348,000,000","1,045,000,000","1,188,000,000","940,000,000","817,000,000","781,000,000","884,000,000","718,000,000","685,000,000","564,000,000"
OperatingExpense,"48,527,000,000","14,738,000,000","12,816,000,000","11,311,000,000","9,662,000,000","10,087,000,000","9,236,000,000","8,895,000,000","8,385,000,000","8,733,000,000","7,312,000,000","8,953,000,000","8,944,000,000","6,298,000,000","5,528,000,000","5,154,000,000","4,590,000,000","4,009,000,000","3,758,000,000","3,683,000,000","3,546,000,000","3,210,000,000","2,902,000,000","2,774,000,000","2,535,000,000","2,457,000,000","2,322,000,000","2,101,000,000","1,956,000,000","2,066,000,000","1,241,000,000","1,047,000,000","965,000,000","963,000,000","773,000,000","786,000,000","672,000,000","665,000,000","563,000,000","1,560,000,000","400,000,000","337,000,000","304,000,000","278,000,000","176,000,000"
	SellingGeneralAndAdministration,"23,872,000,000","7,692,000,000","6,500,000,000","5,215,000,000","4,465,000,000","4,880,000,000","4,473,000,000","4,433,000,000","4,370,000,000","4,855,000,000","3,764,000,000","5,638,000,000","6,084,000,000","3,443,000,000","2,871,000,000","2,631,000,000","2,352,000,000","2,060,000,000","1,706,000,000","1,764,000,000","1,712,000,000","1,636,000,000","1,363,000,000","1,311,000,000","1,192,000,000","1,143,000,000","1,051,000,000","931,000,000","894,000,000","955,000,000","633,000,000","555,000,000","510,000,000","554,000,000","404,000,000","442,000,000","379,000,000","368,000,000","319,000,000","855,000,000","247,000,000","213,000,000","196,000,000","179,000,000","119,000,000"
		GeneralAndAdministrativeExpense,"9,829,000,000","3,305,000,000","2,946,000,000","1,956,000,000","1,622,000,000","1,599,000,000","1,790,000,000","1,593,000,000","1,583,000,000","1,829,000,000","1,348,000,000","3,224,000,000","4,064,000,000","976,000,000","943,000,000","776,000,000","757,000,000","686,000,000","536,000,000","640,000,000","655,000,000","515,000,000","438,000,000","412,000,000","366,000,000","371,000,000","345,000,000","305,000,000","274,000,000","330,000,000","259,000,000","197,000,000","187,000,000","261,000,000","171,000,000","173,000,000","176,000,000","175,000,000","151,000,000","463,000,000","88,000,000","58,000,000","82,000,000","83,000,000","51,000,000"
			OtherGandA,"9,829,000,000","3,305,000,000","2,946,000,000","1,956,000,000","1,622,000,000","1,599,000,000","1,790,000,000","1,593,000,000","1,583,000,000","1,829,000,000","1,348,000,000","3,224,000,000","4,064,000,000","976,000,000","943,000,000","776,000,000","757,000,000","686,000,000","536,000,000","640,000,000","655,000,000","515,000,000","438,000,000","412,000,000","366,000,000","371,000,000","345,000,000","305,000,000","274,000,000","330,000,000","259,000,000","197,000,000","187,000,000","261,000,000","171,000,000","173,000,000","176,000,000","175,000,000","151,000,000","463,000,000","88,000,000","58,000,000","82,000,000","83,000,000","51,000,000"
		SellingAndMarketingExpense,"14,043,000,000","4,387,000,000","3,554,000,000","3,259,000,000","2,843,000,000","3,281,000,000","2,683,000,000","2,840,000,000","2,787,000,000","3,026,000,000","2,416,000,000","2,414,000,000","2,020,000,000","2,467,000,000","1,928,000,000","1,855,000,000","1,595,000,000","1,374,000,000","1,170,000,000","1,124,000,000","1,057,000,000","1,121,000,000","925,000,000","899,000,000","826,000,000","772,000,000","706,000,000","626,000,000","620,000,000","625,000,000","374,000,000","358,000,000","323,000,000","293,000,000","233,000,000","269,000,000","203,000,000","193,000,000","168,000,000","392,000,000","159,000,000","155,000,000","114,000,000","96,000,000","68,000,000"
	ResearchAndDevelopment,"24,655,000,000","7,046,000,000","6,316,000,000","6,096,000,000","5,197,000,000","5,207,000,000","4,763,000,000","4,462,000,000","4,015,000,000","3,878,000,000","3,548,000,000","3,315,000,000","2,860,000,000","2,855,000,000","2,657,000,000","2,523,000,000","2,238,000,000","1,949,000,000","2,052,000,000","1,919,000,000","1,834,000,000","1,574,000,000","1,539,000,000","1,463,000,000","1,343,000,000","1,314,000,000","1,271,000,000","1,170,000,000","1,062,000,000","1,111,000,000","608,000,000","492,000,000","455,000,000","409,000,000","369,000,000","344,000,000","293,000,000","297,000,000","244,000,000","705,000,000","153,000,000","124,000,000","108,000,000","99,000,000","57,000,000"
