name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
EarningsFromEquityInterestNetOfTax,"-7,600,000","-4,800,000","-2,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","53,206,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
	NetIncome,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","43,940,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
		NetIncomeIncludingNoncontrollingInterests,"606,700,000","198,800,000","163,200,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","43,940,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
			NetIncomeContinuousOperations,"606,700,000","198,800,000","163,200,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","43,940,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
		MinorityInterests,"100,000","200,000","-100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,017,000",,,,,,,,
DilutedNIAvailtoComStockholders,"606,800,000","199,000,000","163,100,000","137,500,000","107,200,000","146,700,000","123,400,000","112,100,000","104,000,000","115,200,000","79,800,000","72,700,000","58,800,000","182,600,000","58,700,000","49,300,000","41,600,000","-28,961,000","26,610,000","23,033,000","10,717,000","25,166,000","6,291,000","-1,388,000","-3,429,000","-2,534,000","8,169,000","792,000","1,560,000","6,813,000","4,056,000","6,081,000","8,393,000","12,016,000","11,029,000","8,979,000","12,249,000","21,507,000","17,206,000","13,950,000","14,173,000","16,494,000","17,917,000","14,494,000","13,587,000","16,141,000","14,017,000","6,869,000","4,218,000","53,206,000","7,889,000","4,576,000","3,774,000","7,943,000","4,507,000"
BasicEPS,,"1.22","1","0.84","0.66","0.9","0.76","0.69","0.61","0.67","0.47","0.42","0.35","1.07","0.35","0.29","0.25","-0.17","0.15","0.13","0.06",,"0.04","-0.01","-0.02","-0.01","0.05","0.005","0.01","0.04","0.02","0.04","0.05","0.07","0.07","0.06","0.08","0.13","0.11","0.09","0.09",,"0.12","0.1","0.09",,"0.1","0.05","0.03",,"0.055","0","-0.035",,
DilutedEPS,,"1.19","0.97","0.82","0.64","0.89","0.75","0.68","0.6","0.66","0.46","0.42","0.34","1.04","0.33","0.28","0.24","-0.17","0.15","0.13","0.06",,"0.04","-0.01","-0.02","-0.01","0.05","0.004","0.01","0.04","0.02","0.04","0.05","0.07","0.07","0.05","0.07","0.13","0.1","0.08","0.09",,"0.11","0.09","0.085",,"0.09","0.045","0.03",,"0.05","0","-0.035",,
