name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
TotalExpenses,"7,864,000,000","2,336,000,000","2,132,000,000","1,840,000,000","1,493,000,000","1,500,000,000","1,310,000,000","190,585,000","427,403,000","497,780,000","524,033,000","525,691,000","532,290,000","573,696,000","392,433,000","376,439,000","372,844,000","416,661,000","363,837,000","301,683,000","184,972,000","189,404,000","208,731,000","200,768,000","194,854,000","171,464,000","161,610,000","160,430,000","154,766,000","156,755,000","72,943,000","56,054,000","53,726,000","54,528,000","57,283,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-1,019,000,000","-434,000,000","-233,000,000","72,000,000","-423,000,000","-555,000,000","-926,000,000","-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","89,694,000","29,554,000","-46,328,000","1,021,000","960,000","9,682,000","10,791,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,937,000","-4,064,000","2,909,000","-2,333,000","7,078,000","3,184,000"
NormalizedIncome,"-614,486,000","-260,691,202.873","-130,192,000","171,350,000","-413,100,000","-480,080,000","-638,840,000","-100,028,918.77","-17,373,149.288","10,962,980","44,188,510.993","24,777,943.721","24,075,293.252","9,974,440","39,657,046.807","39,180,074.333","32,734,614.479","105,870,200","36,697,146.786","20,439,000","2,113,104.124","3,332,400","12,629,644.974","11,422,206.905","3,703,374.952","89,935,400","6,901,330.435","5,000,723.357","-6,114,200","-10,968,850","-1,161,100","3,990,000","-961,000","581,250","4,600,000"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000"
InterestExpense,"2,295,000,000","561,000,000","579,000,000","576,000,000","563,000,000","566,000,000","473,000,000","68,136,000","66,464,000","69,043,000","71,897,000","71,798,000","73,510,000","75,153,000","34,085,000","31,405,000","31,251,000","30,389,000","29,183,000","27,527,000","12,670,000","12,542,000","12,589,000","12,795,000","12,991,000","12,612,000","14,482,000","17,238,000","17,237,000","17,341,000","5,652,000","3,870,000","3,889,000","3,871,000","3,912,000"
NetInterestIncome,"-2,295,000,000","-561,000,000","-579,000,000","-576,000,000","-563,000,000","-566,000,000","-473,000,000","-68,136,000","-66,464,000","-69,043,000","-71,897,000","-71,798,000","-73,510,000","-75,153,000","-34,085,000","-31,405,000","-31,251,000","-30,389,000","-29,183,000","-27,527,000","-12,670,000","-12,542,000","-12,589,000","-12,795,000","-12,991,000","-12,612,000","-14,482,000","-17,232,000","-17,232,000","-17,336,000","-5,647,000","-3,866,000","-3,885,000","-3,867,000","-3,908,000"
EBIT,"1,026,000,000","4,000,000","262,000,000","677,000,000","53,000,000","70,000,000","-316,000,000","-65,521,000","-146,346,000","60,909,000","127,021,000","101,152,000","122,144,000","84,139,000","91,769,000","77,414,000","54,194,000","32,831,000","68,894,000","-59,433,000","14,149,000","13,092,000","28,109,000","29,566,000","18,197,000","48,716,000","22,302,000","23,065,000","12,089,000","7,080,000","2,783,000","6,779,000","1,556,000","10,949,000","7,096,000"
EBITDA,"2,152,000,000"
ReconciledCostOfRevenue,"4,647,000,000","1,473,000,000","1,284,000,000","1,045,000,000","796,000,000","777,000,000","667,000,000","58,629,000","243,860,000","279,595,000","302,368,000","298,596,000","305,590,000","335,899,000","248,735,000","236,720,000","234,238,000","258,403,000","233,778,000","193,795,000","120,963,000","127,377,000","143,078,000","138,685,000","130,517,000","116,347,000","112,903,000","112,041,000","105,492,000","106,725,000","47,782,000","36,403,000","34,589,000","34,991,000","37,276,000"
ReconciledDepreciation,"1,126,000,000","284,000,000","276,000,000","301,000,000","265,000,000","261,000,000","223,000,000","48,939,000","50,433,000","54,643,000","52,592,000","56,533,000","57,757,000","58,225,000","35,760,000","31,910,000","31,534,000","36,256,000","29,122,000","24,909,000","15,604,000","15,852,000","15,810,000","15,583,000","16,204,000","14,467,000","13,954,000","14,031,000","14,469,000","14,857,000","5,512,000","4,086,000","4,188,000","4,031,000","4,297,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-989,000,000","-442,000,000","-229,000,000","102,000,000","-430,000,000","-556,000,000","-925,000,000","-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","92,087,000","28,116,000","-47,283,000","1,021,000","960,000","9,682,000","10,791,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,937,000","-4,064,000","2,909,000","-2,333,000","7,078,000","3,184,000"
TotalUnusualItemsExcludingGoodwill,"-482,000,000","-229,000,000","-138,000,000","-95,000,000","-20,000,000","-104,000,000","-392,000,000","44,000","-191,760,000","-33,126,000","-10,612,000","-9,056,000","18,006,000","-13,828,000","-2,988,000","-2,981,000","-13,069,000","-22,972,000","-12,120,000","-112,870,000","-1,582,000","-3,954,000","-4,725,000","-981,000","-515,000","33,696,000","-2,176,000","-250,000","-83,000","49,000","-4,466,000","-1,081,000","-1,372,000","9,995,000","-1,416,000"
TotalUnusualItems,"-482,000,000","-229,000,000","-138,000,000","-95,000,000","-20,000,000","-104,000,000","-392,000,000","44,000","-191,760,000","-33,126,000","-10,612,000","-9,056,000","18,006,000","-13,828,000","-2,988,000","-2,981,000","-13,069,000","-22,972,000","-12,120,000","-112,870,000","-1,582,000","-3,954,000","-4,725,000","-981,000","-515,000","33,696,000","-2,176,000","-250,000","-83,000","49,000","-4,466,000","-1,081,000","-1,372,000","9,995,000","-1,416,000"
NormalizedEBITDA,"2,634,000,000","517,000,000","676,000,000","1,073,000,000","338,000,000","435,000,000","299,000,000","-16,626,000","95,847,000","148,678,000","190,225,000","166,741,000","161,895,000","156,192,000","130,517,000","112,305,000","98,797,000","92,059,000","110,136,000","78,346,000","31,335,000","32,898,000","48,644,000","46,130,000","34,916,000","29,487,000","38,432,000","37,346,000","26,641,000","22,117,000","12,761,000","11,946,000","7,116,000","4,985,000","12,809,000"
TaxRateForCalcs,"0.223","0.208","0.284","0.27","0.155","0.27","0.27","0.252","0.175","0.27","0.328","0.355","0.214","0.27","0.346","0.2","0.091","0.4","0.292","0.4","0.31","0.4","0.376","0.357","0.353","0.4","0.31","0.177","0.4","0.35","0.35","0","0","0.35","0"
TaxEffectOfUnusualItems,"-107,486,000","-47,691,202.873","-39,192,000","-25,650,000","-3,100,000","-28,080,000","-105,840,000","11,081.23","-33,495,149.288","-8,944,020","-3,478,489.007","-3,214,056.279","3,852,293.252","-3,733,560","-1,034,953.193","-596,925.667","-1,189,385.521","-9,188,800","-3,538,853.214","-45,148,000","-489,895.876","-1,581,600","-1,777,355.026","-349,793.095","-181,625.048","13,478,400","-673,669.565","-44,276.643","-33,200","17,150","-1,563,100","0","0","3,498,250","0"
